,log2FoldChange
TFAP4,1
TMCC3,0
ZZEF1,0
HAGHL,1
SLC51B,0
ANK3,0
NAALADL1,0
8-Mar,0
ADAMTS12,1
CDKL1,0
SMOX,1
GRHL3,1
SLC4A11,1
AHCYL2,0
SKA3,1
RIPK2,1
SULT2B1,1
GPD1L,0
LRRC1,0
ASPA,0
TNS4,1
TEF,0
DHDDS,0
ZER1,0
HADHA,2
ASCL2,1
CA9,1
SMKR1,1
RRP12,1
SCARA5,0
CST2,1
TMEM37,0
GDF15,1
URB2,1
PRR36,1
ENPP6,0
PKIB,0
ARNTL2,1
PAQR4,1
LYVE1,0
SGK1,0
NBPF1,0
ADAMDEC1,0
TOMM34,1
FAM107A,0
ATG9B,1
GFRA2,0
CCT6A,1
CCND1,1
ADHFE1,0
XPO5,1
PTGS1,0
HSP90AB1,1
SEC14L2,1
KLK8,1
PERM1,1
CSE1L,1
METTL1,1
CITED2,0
SPERT,1
PYCR1,1
COMP,1
DUSP14,1
MEP1B,0
KLHL35,1
DDX56,1
FXYD5,1
ZMYND19,1
FEZF1,1
CCDC69,0
WDR43,1
FBLIM1,0
PDK4,0
ANKRD13B,1
CFAP157,1
S100A2,1
CBFB,1
TMEM253,0
TMEM220,0
IQGAP3,1
AQP8,0
METTL7A,0
KLK10,1
CAB39,2
SPIB,0
SPECC1L,0
ABCB11,0
SAPCD2,1
UGDH,0
ACAN,1
SNTB1,1
RFC3,1
TRANK1,0
PPAT,1
FABP6,1
LIFR,0
FAM151A,0
SOX9,1
RBM47,0
DCUN1D5,1
FAM89A,1
CCDC78,1
GUCA2A,0
RNF185,2
DSCC1,1
TRPM6,0
LRRC8E,1
C1ORF115,0
QSOX2,1
KIF18B,1
CDCA5,1
NR3C2,0
DBNDD1,1
RTKN,1
RMDN2,0
OTOP2,0
PDE8A,0
RBM28,1
PXMP2,0
SLC17A7,0
STPG4,1
FAM135B,0
RPGRIP1L,1
SLC26A2,0
RNF183,1
ZNF121,1
CD160,0
GABRD,1
GARS,1
FAM180B,0
PPP2R3A,0
TMEM127,2
DKK4,1
EXOSC2,1
RXRG,0
MSX1,1
MMP3,1
CPEB3,0
GSTM5,0
DUSP27,1
KIF20A,1
NKRF,1
PACSIN2,0
CCDC86,1
DDIAS,1
KLC3,1
STIM1,0
ULBP2,1
MLXIPL,1
UTP4,1
CBX7,0
MYC,1
ABHD3,0
SDCCAG3,1
GRIN2B,1
ADD1,2
SEMA6D,0
RDH5,0
POLR1C,1
HPGDS,0
MTM1,0
BTBD16,1
SHCBP1,1
TGIF2,1
UBE2S,1
LITAF,0
TMEM72,0
UNC5C,0
SCGN,0
ZBTB7B,0
ACADS,0
ATP11A,1
ULBP1,1
LRRN2,0
IL11,1
TLX1,1
ADAM12,1
TNXB,0
NKX2-3,0
TEX10,1
EZH2,1
ABCA8,0
ECT2,1
STC2,1
SOX4,1
WDR66,1
TG,1
NCAPG2,1
PYGM,0
MYOM1,0
KIF2C,1
VEGFD,0
KRT6B,1
CHP1,0
CMSS1,1
FAM129A,0
KRT17,1
CELSR1,1
NME1,1
C1ORF210,0
GJB4,1
MACC1,1
TIMP1,1
MAMDC2,0
ASB8,2
C5ORF34,1
HADHB,2
CBX4,1
TESK2,0
NMB,1
CD163L1,0
TRAK2,0
MRPL17,1
DHRS11,0
HIGD1A,0
FTSJ1,1
TMEM100,0
NR5A2,0
FHL1,0
PABPC1L,1
TDP2,0
SLC30A4,0
RECQL4,1
MCM10,1
BMP3,0
SLCO1B3,1
PHLDA1,1
PJA2,0
RRP9,1
C19ORF48,1
CEL,1
WDR75,1
CNN2,1
SLC25A20,0
CMTM8,1
MPZ,0
KLF4,0
PRPF4,2
TACSTD2,1
ABHD5,0
EME1,1
TMEM131,0
POPDC2,0
NEGR1,0
PLPP3,0
C17ORF53,1
CCT3,2
WDR78,0
ATP8B1,0
ATIC,1
IRX5,1
MARVELD3,0
PRELID3A,1
RCL1,1
SMYD5,1
ANKRD13A,0
COL7A1,1
CYP27B1,1
WNT7B,1
XPOT,1
CALCOCO2,2
ASCL5,1
MMP1,1
GRAMD1A,1
MEX3A,1
CELSR3,1
ATP6V1G2,0
STK31,1
FMO4,0
TMEM236,0
SP5,1
WDR62,1
B3GNTL1,1
GPAT3,0
POLR2D,2
EPM2A,0
CFL2,0
C5ORF30,0
NOP56,1
MYLK,0
STRIP2,1
WNT3,1
SLC4A4,0
CNST,0
RAP1A,0
CA1,0
ANAPC7,2
SVIL,0
AZGP1,1
BUB1,1
GPM6B,0
PLP1,0
RBFOX3,0
MFSD12,1
E2F1,1
RFWD3,2
NAT10,1
RAB27A,0
SMPD1,0
FBXO41,1
PUS1,1
SLC22A18AS,0
SERPINA4,1
CDK2,1
DHRS2,1
PINK1,0
TMEM97,1
TCP11L1,0
DIAPH3,1
MOBP,0
SLC2A13,0
PBLD,0
IMPDH1,1
CAD,1
CEACAM1,0
ST6GALNAC6,0
DDX55,1
IARS,1
MS4A10,0
LYAR,1
MYBL2,1
FBXL22,0
PUM3,1
TOP1MT,1
TTC22,0
NOB1,1
NEK2,1
BRCA2,1
GAB1,0
PDE2A,0
NTMT1,1
FAM227A,1
PCSK5,0
MT1F,0
SCD,1
MTHFD2,1
EIF3B,1
CDK4,1
GLS2,1
TNNI3,1
OXTR,1
JOSD1,2
ULBP3,1
MYL9,0
NPFFR1,1
ZIC2,1
AURKA,1
ZIC5,1
ALPI,0
SLC30A10,0
CEP55,1
SF3B3,2
RAD54B,1
OPN3,0
CCNF,1
FNBP1,0
TMEM105,1
LDB3,0
TRAP1,1
NXPH4,1
UHRF1,1
CD177,0
C16ORF59,1
TTLL4,1
UCN2,1
GNL3,1
ELANE,0
MUSK,0
TMEM35A,0
E2F7,1
P2RY1,0
VSNL1,1
UGT1A8,0
DPP6,0
RHBDF2,1
HAUS5,1
TMEM41A,2
CD44,1
GUCA2B,0
PTN,0
KRT75,1
CENPN,1
HMGCLL1,0
SCN9A,0
KPNA2,1
ZNF692,1
CMTM5,0
CENPI,1
SLC7A11,1
PAICS,1
SUCLG2,0
RGS16,1
CDCA3,1
PPP1R12B,0
TSPAN7,0
UBE2T,1
CHPF,1
CENPA,1
RYR3,0
GRIK1,0
SHISA2,1
HSPD1,1
GRIK3,0
NKD1,1
KIF23,1
NOL6,1
WDR12,1
ALKBH2,1
CNGB1,0
HSPB8,0
BOP1,1
GTSE1,1
ABI3BP,0
SMIM14,0
MCM3,1
GDPD5,1
ASAP3,0
TCF7,1
TXNRD3,1
GRHL1,1
SGCG,0
SELENOP,0
CPM,0
CHAD,0
ELMSAN1,0
MOB3B,0
RAE1,1
DMBX1,1
RIOK3,0
ACTR3B,1
PDCD6IP,2
FANCI,1
AEN,1
JPH1,1
PPM1A,2
CAVIN2,0
RNASEH2A,1
PSD,0
MELK,1
GNG3,0
DPT,0
UGT1A10,0
HSD11B2,0
ZNF473,1
LDHD,0
IBSP,1
CTPS1,1
CLMN,0
NOM1,2
CKAP2,1
C11ORF84,1
CDC45,1
SOX14,1
GNG2,0
SLC2A4,0
CST4,1
PTPRH,0
NUF2,1
LEXM,0
FANCA,1
RNF43,1
CPT1A,0
C1ORF109,2
GNA13,0
WDR77,1
HOMER1,1
EXO1,1
TRIM27,2
NOP58,1
MTBP,1
ADCY9,0
GINS1,1
TCF21,0
CHAF1B,1
SLC12A8,1
CYB561A3,2
PKMYT1,1
ENOPH1,1
NOLC1,1
PGGHG,1
WASL,0
TTYH3,1
GMPS,2
EMILIN3,0
PAG1,0
SLC35G1,0
KCNN3,0
RFC4,1
SCLY,1
KCNJ14,1
MT1X,0
TFR2,1
RAET1L,1
POP1,1
CORIN,1
CKAP2L,1
CLIC5,0
RBPMS2,0
UBE3D,1
AKR1C4,1
NFXL1,2
DYRK2,0
LRRFIP2,2
PALB2,2
CXCL3,1
LVRN,0
FGL2,0
C4ORF19,0
ACKR2,0
SORD,1
TRMT1,1
WDR74,1
STPG1,0
KIF26B,1
NCAPH,1
CNN1,0
KIF14,1
BIRC5,1
TNFSF15,1
ERCC6L,1
ANK2,0
TNFSF9,1
MAL,0
CCNB1,1
SCAMP2,0
SHMT2,1
SYNM,0
MT1M,0
WDR4,1
ZSWIM6,0
MMP13,1
AMPD1,0
RBKS,0
KCNE2,0
PAFAH1B3,1
C6ORF15,1
ADAT2,1
PDE9A,0
C1ORF112,1
GALNT6,1
SH2D7,0
PPA1,1
PKP1,1
KIAA0513,0
POLD2,1
FANCB,1
SLMAP,0
SLC5A6,1
ANGPTL5,0
RAD54L,1
CDCA4,1
KIF4A,1
THUMPD2,2
PBX4,1
FGF19,1
GPT2,1
LPCAT3,0
NEDD4L,0
PLSCR4,0
SYNPO,0
PEX11A,0
ALKAL1,1
TLR3,0
FXYD1,0
TBC1D30,1
RRP1,1
CNTN4,0
SH3BGR,0
BVES,0
CREB3L3,0
ITM2C,0
ATAD2,1
PKHD1L1,0
RPP40,1
CCT2,1
RAN,1
SQOR,0
UTP14A,1
CXCL12,0
SLC17A4,0
ZSWIM4,1
EPHB4,1
ATP1A2,0
HPSE2,0
CEACAM7,0
NONO,2
NTN1,0
PYY,0
TMIGD1,0
CADM3,0
NR2C2AP,1
CDCA7,1
VSIR,0
PSRC1,1
ACAA2,0
PLXNA1,1
GPR3,1
CDC6,1
RRM2,1
ANOS1,1
NOP14,2
HLF,0
MTFR2,1
TEX45,1
GLIPR2,0
NAP1L2,0
CSNK1E,2
NEURL1B,0
GNG7,0
NCOA4,0
KANK2,0
PDZD4,0
CCL23,0
FOSL1,1
ACACB,0
PADI2,0
DNAJB5,0
TMEFF2,0
NLE1,1
CAND2,0
PAPSS2,0
P2RY14,0
MT1G,0
C7ORF31,0
EGLN1,2
ZPR1,2
DSG3,1
PAH,1
RAD18,1
SRPX,0
MYH11,0
LGALS4,0
KIAA1161,0
ASB2,0
CPSF3,2
NPTX1,0
GNAO1,0
ATP2B4,0
ARHGAP44,0
MCM7,1
FAM161B,0
PLAC4,1
NOP16,1
VAMP2,0
JADE3,1
CHTF18,1
RCC2,2
ASB7,2
MXD1,0
BCAR3,0
TRIM40,0
NCAM1,0
ITGA8,0
LRRC36,1
SLC5A11,0
RANBP1,1
PAFAH2,0
ACTG2,0
PRDM12,1
CXCL5,1
TMEM171,0
ANO10,0
MAGI3,0
CALM1,2
ACSL6,1
ARRDC4,0
SRPX2,1
RRS1,1
MGLL,0
GTF3A,1
TMEM151B,0
WISP1,1
EIF2S2,1
NUDCD1,1
KAT2B,0
SRI,0
ARMC10,1
CYSRT1,1
INPP5A,2
RNFT2,1
SPTBN5,1
AFF3,0
LPP,0
RACGAP1,1
PLS1,0
EIF4E3,0
SLC23A1,0
AADACL2,0
XPNPEP3,1
SCP2,0
SCNN1B,0
FLNC,0
FAP,1
NCAPD3,1
ARL14,0
AL662899.2,1
CHEK1,1
CLEC9A,0
KCNA5,0
MAD2L1,1
IL10RB,0
RNF150,0
AMPD2,1
CCNE1,1
PRR11,1
PLCD4,0
SOS2,0
INAFM2,0
TM6SF2,0
IL23A,1
PLEKHG4,1
SLC17A8,0
ELF5,1
EXOSC5,1
PRMT3,1
JAM2,0
LMOD1,0
ZNF695,1
PPRC1,1
LRRC19,0
DHX34,1
TPM1,0
CENPH,1
SCN11A,0
TLCD2,0
PMAIP1,1
CNOT9,2
NELFCD,1
CGN,0
CXCL1,1
PLCL2,0
TNFSF10,0
SYNPO2,0
ASPHD1,1
RUNX1,1
RERGL,0
DNAH2,1
SHH,1
EPYC,1
CUX2,0
WASHC2C,0
NOX4,1
SECTM1,0
HSD17B11,0
HHLA2,0
DIXDC1,0
VSTM2A,0
RAB36,1
ARHGEF18,0
OLR1,1
LPAR1,0
PCSK9,1
CLEC5A,1
WSCD1,0
MFAP2,1
SSTR2,0
SLC35D1,0
NUP43,2
DDX10,1
MPP5,0
SULT1A1,0
PDE6A,0
DUSP4,1
ADH1C,0
TPM2,0
EML1,0
YTHDF1,1
LMTK3,1
SERPINB5,1
PLK1,1
NUP85,2
MYEOV,1
CCDC150,1
GART,2
HMGA1,1
NUP107,2
TMPRSS13,1
RNASEL,0
CTNND1,2
IER5L,1
RCAN2,0
ANGPTL7,0
HACD3,1
CDK1,1
TICRR,1
VEGFA,1
PSPH,1
TKT,1
FAM214A,0
C5ORF46,1
CSNK2A2,2
ARHGEF37,0
CRADD,2
TMEM82,0
CHP2,0
RAVER2,0
PPBP,1
CKS2,1
PNO1,1
EXOSC7,1
KLB,0
NKPD1,1
CAMK2G,2
SLC9A1,0
CCDC158,0
ARHGAP20,0
POLR1E,2
CRHBP,0
SETD6,1
STX12,0
DGAT2,1
SLC35D3,1
CCDC113,1
LZTS3,1
FOXF2,0
NANOS3,1
TRAIP,1
TMEM185B,2
FOXN3,0
CFAP45,1
ARHGAP17,2
MGAT4A,0
CPNE8,0
PAQR5,0
C2ORF15,1
AMH,1
MBNL1,2
RHEBL1,1
STOX2,0
TAMM41,2
SLC9A3,0
WT1,1
PALD1,1
PPARGC1B,0
EDIL3,0
PRPH,0
AHCY,1
HSD17B2,0
MAB21L2,0
LIF,1
SLC9A9,0
DIEXF,2
CCDC13,0
PIWIL1,1
SUV39H2,1
RHOU,0
DDX21,1
SHB,1
CDHR5,0
C14ORF79,1
LILRB5,0
SUGCT,0
HEATR1,1
VARS,1
CCT7,2
SIAE,0
FLVCR2,0
SLCO2A1,0
GREM2,0
XKRX,1
MT1H,0
NUP93,2
SLC26A3,0
SND1,2
AKAP6,0
TAB2,2
FILIP1,0
ZNF239,1
TACR2,0
KIAA1644,0
BCHE,0
TFAP2A,1
LRRC7,0
GPBP1L1,2
ELAVL4,0
TMEM140,0
CPEB1,0
ATP6V1C2,1
TRPV3,0
EN2,1
INTS13,1
CENPP,1
HRASLS2,0
DCAF13,1
EDN3,0
STMN2,0
LDLRAD3,1
KIF18A,1
GLDN,0
SLC22A23,0
MCM2,1
URB1,1
BCL2L11,0
PDE7B,0
PSMD14,2
UBFD1,2
GDPD2,0
ARL4D,0
ANKS6,1
MROH6,1
BTBD3,0
DNAJC28,0
EPB41L3,0
ODF2,2
TBC1D24,2
SCUBE2,0
OGFOD1,2
NAT9,1
DSN1,1
PIF1,1
KIFC1,1
TADA2B,2
TDGF1,1
IGSF3,0
C10ORF76,2
PRC1,1
HMOX1,0
ZNF74,1
CAP2,0
STIP1,2
TIMELESS,1
RPUSD4,2
ABCD3,0
SPP1,1
SLC41A2,0
TST,0
BCL2L12,1
XKR4,0
PGM1,0
AXIN2,1
FAM46B,0
S100P,1
P2RX1,0
SPATA33,1
KCNMB1,0
MIER1,0
SCN7A,0
PKNOX2,0
MALL,0
NUFIP1,1
ERFE,1
ACAT1,0
DSG4,1
PTTG1,1
F2RL1,0
TAF1D,1
RCN1,1
PDZD7,1
ACBD6,2
SLC22A11,1
C8ORF88,0
MSI2,1
TTI1,1
SLC23A3,0
TMPRSS3,1
PLAU,1
HPGD,0
DENND1C,0
DSC2,0
PSEN1,2
HELLS,1
ADAMTSL3,0
GRIN3A,0
BFSP1,1
TSPAN1,0
ANKS1B,0
PRDX4,1
METTL24,0
CPOX,2
C15ORF48,0
STMN4,0
FMO5,0
LY6G6D,1
MMS22L,1
PRR19,1
RGP1,2
CPNE5,0
TGIF1,1
ANKZF1,2
PRIMA1,0
STX1A,1
CARD14,1
WDR7,0
PNPT1,1
SDCBP2,0
TMEM59,0
DSCR3,2
PGC,1
OTUB2,1
SLC16A12,0
E2F6,2
AC135586.2,0
RUNDC3B,0
EXOSC3,2
SESN2,0
SLC3A2,1
B3GALT4,0
PTGDR2,0
TMEM161A,1
KISS1,1
TCF7L1,0
PLAC8,0
ARHGEF25,0
BUD23,2
FANCD2,1
MARCKS,0
C1QTNF9,0
ZNF821,0
MFSD11,2
LRP11,1
TMEM74B,1
SLC22A3,1
PGM5,0
SPC25,1
SNAI1,1
CTDSP2,2
FGFRL1,1
MS4A12,0
SCIN,0
TSHZ1,0
KRT16,1
BTNL8,0
GTPBP3,1
BRPF3,2
CCDC68,0
ZNF280C,1
DAAM2,0
EIF4EBP2,2
C2ORF40,0
MYOT,0
MMP10,1
C10ORF35,1
HABP2,1
MPPE1,0
MRM2,2
BGN,1
STYK1,0
HS6ST2,1
MCM6,1
CTU2,1
NBEAL1,0
TRIM72,1
TAGLN,0
MYOCD,0
HAND2,0
TRIM59,1
NANP,1
PLN,0
CACNG8,1
HAPLN1,0
IFRD2,1
SFRP1,0
CCT4,2
TARBP1,1
NPM3,1
TUBB4A,0
STAB2,0
PDZRN4,0
AC025594.2,1
EPAS1,0
TXNDC11,2
SSBP2,0
ATP6V1E2,1
WDR3,2
PANO1,1
CA4,0
BRCA1,1
MORC2,2
POLD4,0
FBXO32,0
SP8,1
DISP2,0
TIGD1,1
PDE5A,0
CDK5RAP1,1
LY6G6E,1
TPH1,0
AP1S3,1
SNRPF,1
KIAA1211,0
ADCY5,0
FAM13B,0
RPN2,2
SLC17A9,1
SULT1B1,0
PPEF1,1
PIANP,0
HM13,1
CASD1,0
JAG2,1
AGAP3,1
NSUN5,1
BCL2L2,2
CHCHD6,1
P2RX4,0
MND1,1
MCM4,1
CTNND2,0
PI16,0
ARPIN,2
TMEM30B,0
TAF1A,1
SMYD2,2
TOP2A,1
SNRK,2
MAD2L2,1
GBX2,1
SETBP1,0
PPP1R14A,0
TNS1,0
SLC13A3,1
ANGPTL1,0
PDCD5,1
EPB41L4B,0
ANXA3,1
SRM,1
KLF9,0
SPC24,1
CAPN5,0
CDCA8,1
TNFRSF10B,1
MRTO4,1
ADGRG1,1
UCN,1
ACTR5,1
E2F3,2
KRT6A,1
NECTIN4,1
DHCR7,1
ZNF485,1
DTL,1
CLCA4,0
CCL14,0
SLCO4C1,0
NUP37,1
SIGMAR1,1
GOLGA7B,1
SCN4B,0
DBF4B,1
G6PC,0
TOM1L2,0
RGS9,0
9-Mar,1
E2F5,1
GSN,0
MAB21L1,0
SLC25A42,0
LGI1,0
NT5DC2,1
LMO3,0
PYCR3,1
TMEM249,1
SLC22A4,0
CES2,0
PEG3,0
HGH1,1
PIRT,0
ARHGEF26,0
LEF1,1
CDC25C,1
OVGP1,1
ADGRB3,0
APELA,1
DNAAF5,1
GINM1,2
YARS,2
SUSD6,0
PAX9,1
TMEM211,1
CBLN2,0
MAOA,0
MOCS1,0
HES6,1
EXOC6B,2
WDR46,2
IGFL1,1
PDRG1,1
NIFK,1
SEMA6A,0
LGR5,1
DCAF11,2
RANGAP1,1
NUP155,2
KHDRBS2,0
CCT5,2
NUP205,2
NDRG2,0
ONECUT3,1
PRSS33,1
NECAB1,0
NEFM,0
KRT7,1
KRT20,0
CCBE1,0
SIX1,1
HERC3,0
PGR,0
EXOSC8,1
FAM57A,1
MAF,0
JPH2,0
EIF4EBP1,1
CLDN16,1
ILK,0
ZNF200,2
FXYD6,0
FEZ2,2
FSIP2,0
INTS7,2
RPL7L1,2
ITGA2,1
KIAA1524,1
ADGRL3,0
EIF5A2,1
PAFAH1B1,2
GFRA1,0
DNASE1L2,1
CCDC152,0
PCID2,1
GNG12,0
TRAF5,1
PCNX2,1
P3H1,1
CA14,0
IPO4,1
DACT3,0
ACO2,0
PMP2,0
GRPEL2,1
KCNH8,1
SNAP29,2
PLEKHA7,0
REEP2,0
ALDH4A1,1
C18ORF32,2
PA2G4,2
CTNNA3,0
C16ORF89,0
ASB9,1
IPO5,1
ZC3H8,1
DCLK1,0
RP9,2
NNAT,0
RCAN1,0
NOC3L,1
CPED1,0
GPT,0
SERINC1,2
NCOA1,2
COL1A1,1
CBX3,1
C1QTNF2,0
MRPL3,2
ETHE1,0
PAMR1,0
ABCA9,0
ELAVL1,2
SQLE,1
PITX1,1
CHMP1B,2
MYO1A,0
DNA2,1
TAX1BP3,0
RRP1B,2
LPO,1
GALNT12,0
NOVA1,0
COLGALT1,2
MUL1,2
DLX4,1
MAPK10,0
TTLL6,0
NUMB,2
ZNF263,2
MRGPRF,0
NAA25,2
DMRTA2,1
KCNMA1,0
MSH5,1
SLC35F1,0
CCNB1IP1,1
LARGE1,0
HOXB8,1
IGSF9,0
PPP2R3B,1
AMELX,1
ACD,1
CHST4,1
RNF112,0
LY6G6F,1
SET,2
DONSON,2
KCNAB1,0
TSACC,1
USP31,2
PRKCB,0
TCN2,0
CA12,0
MRPS23,1
ZDHHC7,2
ARHGEF39,1
GNB1L,1
C9ORF116,1
STIL,1
VMA21,1
RIPK1,2
C8ORF74,1
CAPN2,0
LMNB2,1
AOC3,0
TCOF1,1
VAT1L,0
BICD1,1
TMPRSS2,0
FIGNL1,1
NIPAL1,0
RCC1,1
BEND5,0
LGR4,0
NUP62CL,1
EBPL,1
SMARCC1,2
SCN2B,0
TYRO3,1
C12ORF73,2
ATP1B2,0
FAM72A,1
MTERF3,1
CLIP3,0
SAMD10,1
NRG2,0
PTP4A3,1
EDN2,0
AOC1,0
HGNC:24955,0
LINC00675,0
SPOCD1,1
B3GNT7,0
BMP7,1
AQP5,1
WDR90,1
NACAD,0
SLC6A20,1
C1ORF105,1
TRMT11,2
NRXN1,0
SNX1,2
BTD,2
NXT1,1
TONSL,1
PPM1G,2
CDT1,1
CENPW,1
CROT,0
DNMT3B,1
NUTF2,1
RPS6KL1,1
FZD5,2
CYBRD1,0
MORC4,1
PRKACB,0
ZDHHC9,1
CDC25A,1
CEBPB,1
ECE2,1
CNTN2,0
HSPB6,0
GDPD3,0
LSM8,2
CXCL8,1
ALDH3B2,1
CHI3L1,1
TNNT1,1
ASB11,0
LRRC75A,0
NCAPG,1
BTNL3,0
GRINA,1
PLD1,0
PPP1R14B,2
FOXM1,1
VPS4B,0
RIPPLY3,1
DUSP9,1
SLAMF9,1
PTK2B,0
YDJC,1
ARF3,2
SMTN,0
MPEG1,0
PGAM5,1
LBX2,1
EAF2,0
TMEM170A,2
VTI1B,2
BRAT1,1
FOLR1,1
SLC6A19,0
GJB5,1
BMP2,0
BUB3,2
SIK3,2
PLCD3,0
TMIGD3,0
KIF9,1
DTYMK,1
PTGER4,0
ZADH2,2
JAZF1,0
ASNS,1
CENPF,1
PDCD11,2
MYO1D,0
LIMA1,0
POLQ,1
PROB1,0
C1QTNF7,0
MPP2,0
TNFRSF13B,0
KNTC1,1
CLEC10A,0
ADCYAP1R1,0
S100B,0
PRSS56,1
NPTN,2
JCHAIN,0
RPF2,2
TMOD1,0
ABCC2,1
SUV39H1,1
KIF24,1
DAND5,0
FAM46C,0
SHROOM4,1
LRRC20,1
ARID3A,1
MOB3A,2
CD209,0
UNC93A,1
HSF4,1
HTR7,0
HEATR5A,0
C7,0
CLPB,1
HIST3H2A,1
ACP6,2
EHHADH,0
CD276,1
SPRR2D,1
FNIP2,0
ADAMTS2,1
CPNE1,1
PWP1,2
TACC3,1
NHSL1,0
PPIL1,1
TRMT112,1
TRAF3IP2,2
CRYAB,0
PERP,1
NFE2L1,2
ENHO,0
NPRL3,1
HYAL3,1
RBMX,2
SMIM6,0
WBP1L,2
CSTF1,2
AKAP9,0
TUBAL3,0
NIT2,2
BRIX1,1
GRIK5,0
NAP1L1,1
SAP30L,2
ADH1B,0
PIMREG,1
DDX39A,1
CKAP5,2
MAST2,0
GDNF,0
DESI1,2
KCTD9,0
RELL2,1
IDH3A,2
IL6ST,0
ECE1,0
PHF19,1
SPDYC,1
BUB1B,1
LIMS2,0
LRMP,0
PFDN2,1
MUC6,1
EFTUD2,2
EVPL,1
LRRC66,0
CLDN18,1
DPF3,0
ELAVL3,0
TIGD4,1
VDR,0
DARS,2
HASPIN,1
PVR,2
GLYATL1,1
ASIC1,1
RXRA,0
BCAS1,0
ASPG,0
C12ORF66,2
ACBD7,1
NUDT1,1
RSL1D1,2
KLHL17,1
LAMA1,0
ST7,2
C20ORF144,1
ETNK1,0
SUN2,0
SORBS1,0
MT2A,0
FAM162A,0
SLC44A1,2
GABRE,1
OSBPL11,2
HCFC2,0
P2RX2,0
SRPRB,2
GEMIN5,2
RNF11,2
TIMM50,2
P2RY4,0
FGFBP2,0
HSD3B2,0
SLC44A4,0
PCP4L1,0
SOWAHB,0
PAEP,1
GNPTAB,2
KNSTRN,1
FEN1,1
ODC1,1
DMRTA1,0
CHL1,0
DPCD,1
APOBEC3A,0
SLC12A2,1
MAGEA3,1
ZBTB12,1
MSRB3,0
LMBR1,2
UGGT2,1
SLC7A6,1
DNAJC2,1
CDKN2A,1
AARS,2
PTK7,1
SHE,0
DHX37,2
RBL1,1
SSTR5,1
GNPDA1,2
CMTM7,1
COPS7B,2
TP53I3,0
CYP2W1,1
KIF13B,0
HRCT1,0
DNAH5,1
CLDN14,1
ARRB1,0
CXCL17,1
CEND1,0
ANPEP,0
KIAA1671,2
RCSD1,0
SST,0
MPC1,0
TCF24,1
CDKN3,1
PRR5L,0
C6ORF48,1
NEIL3,1
TCFL5,1
UTP18,2
SORCS1,0
MPND,0
SCML1,1
SSBP1,2
ITGA7,0
CBARP,1
GSDMC,1
