genes,log2FoldChange_0,log2FoldChange_1,log2FoldChange_2
MS4A6A,1,0,0
PIN4,0,0,1
ACVR1B,0,0,1
MYT1L,1,0,0
IFT27,0,0,1
LOXHD1,0,0,1
IL17F,0,1,0
EXOG,0,0,1
TXLNG,0,1,0
SERPINA9,1,0,0
TSPAN3,0,0,1
KCTD2,0,0,1
C9ORF152,0,0,1
C14ORF28,0,0,1
LENG1,0,0,1
MRRF,0,0,1
NOD2,0,1,0
WWTR1,1,0,0
OMP,0,0,1
DDX51,0,0,1
PHTF1,0,0,1
RGS21,0,1,0
POLR2L,0,0,1
FGD2,1,0,0
KCNIP1,1,0,0
PANO1,0,1,0
MMP13,0,1,0
SHROOM4,0,1,0
HMBS,0,0,1
PSMA3,0,0,1
TNFRSF9,0,0,1
ALLC,0,0,1
BMPR2,0,0,1
PLCB4,0,1,0
SEC24A,0,0,1
C17ORF97,0,0,1
IQGAP1,0,0,1
FAM173A,0,0,1
RPP40,0,1,0
PPP1R14B,0,0,1
HAUS3,0,0,1
DDX6,0,0,1
ATXN7L2,0,0,1
PKN2,0,0,1
SH3BP1,1,0,0
COIL,0,0,1
ST3GAL3,0,0,1
AUP1,0,0,1
CUL4A,0,0,1
TIAM1,1,0,0
OCLN,0,0,1
RSPH3,0,0,1
AGO2,0,0,1
NEUROG2,0,1,0
RBM12,0,0,1
ZNF155,0,0,1
CPSF1,0,0,1
DLGAP4,0,0,1
AKR1C2,1,0,0
FAXC,1,0,0
STK25,0,0,1
GPR171,1,0,0
RAET1G,0,1,0
NUDT10,1,0,0
TRAT1,1,0,0
TRPA1,1,0,0
FAM171A1,0,0,1
ZNF621,0,0,1
KCNIP4,1,0,0
AP2S1,0,0,1
ZNF396,0,0,1
TBX15,0,1,0
AC004233.2,0,1,0
LINS1,0,0,1
ARRDC5,0,0,1
DWORF,0,1,0
CITED1,0,1,0
BLM,0,1,0
C4A,0,0,1
DCSTAMP,0,1,0
PABPC3,0,1,0
ZNF461,0,0,1
DAPL1,0,1,0
LIMD2,0,0,1
SGO2,0,0,1
POLR2H,0,0,1
DFNB59,0,0,1
AC134669.2,1,0,0
TPGS1,0,1,0
KLHL35,0,1,0
KNG1,1,0,0
EDARADD,0,0,1
LILRA1,0,0,1
PARP6,0,0,1
FAM71E1,0,1,0
LIX1L,0,0,1
F2R,0,0,1
CHUK,0,0,1
AMPH,1,0,0
GRPR,0,1,0
ZNF267,0,0,1
AZGP1,0,1,0
EEF1B2,0,0,1
PCLAF,0,1,0
TJP3,1,0,0
RANGAP1,0,1,0
AASDHPPT,0,0,1
NBR1,0,0,1
NCAPG,0,1,0
MDH2,0,0,1
STRA6,0,1,0
CXORF56,0,0,1
SPIN2B,0,0,1
ATP5F1,0,0,1
CBFB,0,1,0
UBD,0,1,0
KCNIP2,0,0,1
DPP7,0,1,0
GEM,0,0,1
DGAT1,0,0,1
MITD1,0,0,1
RPS17,0,0,1
FBXO21,0,0,1
LSMEM2,1,0,0
KLK10,0,1,0
A2ML1,0,1,0
SCYL2,0,0,1
ARV1,0,0,1
NAV3,0,0,1
TFR2,0,1,0
MLF2,0,0,1
CCDC83,0,1,0
C1QBP,0,0,1
SDHAF3,0,0,1
C17ORF53,0,1,0
MYL2,1,0,0
CACNG7,1,0,0
APOA2,0,1,0
IGFN1,0,1,0
FPGS,0,1,0
GPATCH11,0,0,1
MKNK2,0,0,1
GOLGA8H,0,0,1
PLEKHA7,1,0,0
NXPE4,1,0,0
MPV17L2,0,0,1
VIPR2,1,0,0
NFAT5,0,0,1
WDR20,0,0,1
SERPINB7,0,1,0
SLC16A10,0,0,1
NENF,0,0,1
GABARAPL2,0,0,1
RGS17,0,0,1
VAT1L,1,0,0
HSD11B2,1,0,0
TRPC6,1,0,0
PAQR7,0,0,1
NBPF10,0,0,1
GYPE,1,0,0
MYOM2,0,0,1
KIF27,0,0,1
TMEM170B,0,0,1
NBPF15,0,0,1
ARMC3,0,1,0
NCCRP1,1,0,0
DRC3,0,0,1
CARTPT,1,0,0
MLLT11,0,0,1
MFSD11,0,0,1
SMAP1,0,0,1
ATG14,0,0,1
HPS1,0,0,1
FAM89A,0,1,0
BZW2,0,0,1
NDP,0,1,0
NDUFB1,0,0,1
CCL21,1,0,0
RACK1,0,0,1
SCML2,0,0,1
HASPIN,0,1,0
RPE,0,0,1
SNX11,0,0,1
SOX15,1,0,0
ERMARD,0,0,1
TAP1,0,0,1
TNRC6B,0,0,1
ZNF668,0,0,1
PPP6C,0,0,1
FGF7,1,0,0
SOWAHD,0,0,1
ALOX12,0,0,1
FOSB,1,0,0
SOS2,1,0,0
NPTXR,1,0,0
RASSF3,0,0,1
HOXB13,1,0,0
VPS72,0,0,1
ASIP,0,1,0
PROM2,1,0,0
GAB3,0,0,1
POLR2G,0,0,1
NCAPG2,0,1,0
PYY,1,0,0
FAM19A5,0,1,0
ULBP3,0,1,0
C16ORF46,0,1,0
TRH,0,1,0
EID1,0,0,1
TTC27,0,0,1
TRAK2,1,0,0
EXOSC4,0,1,0
ZNF804A,1,0,0
LSM8,0,0,1
DHX9,0,0,1
ANTXR1,0,0,1
GPR89A,0,0,1
RAD50,0,0,1
SLBP,0,0,1
CRCT1,0,1,0
TJAP1,0,0,1
ELAC2,0,0,1
LRMP,1,0,0
UBIAD1,0,0,1
CAD,0,1,0
APOBEC3B,1,0,0
PTCD2,0,0,1
IRF9,0,0,1
DDX23,0,0,1
BAK1,0,0,1
TANGO2,0,0,1
JKAMP,0,0,1
AKR7A2,0,0,1
PLAUR,0,0,1
MAPKAPK5,0,0,1
SLC23A2,0,0,1
DBF4B,0,1,0
FAM153B,0,0,1
ARHGEF26,1,0,0
POLR1B,0,1,0
FOXN2,0,0,1
ZNRF3,0,1,0
PPY,1,0,0
NTF3,0,0,1
MSI2,0,1,0
LRP10,0,0,1
TKFC,0,0,1
CPE,0,0,1
SUV39H2,0,1,0
SLC30A6,0,0,1
MCM8,0,1,0
CDK7,0,0,1
MTG2,0,1,0
P2RX4,1,0,0
MMP28,1,0,0
LGALS2,1,0,0
SLC7A11,0,1,0
PRKAB2,0,0,1
ELMO1,0,0,1
LDHB,0,0,1
OR6T1,1,0,0
MCTP2,0,0,1
KCNJ9,1,0,0
ATP8A1,1,0,0
C19ORF47,0,0,1
HGH1,0,1,0
TRPC7,1,0,0
FMO5,1,0,0
TEAD3,0,0,1
KRTAP5-4,0,1,0
AGTR2,1,0,0
BHLHA15,1,0,0
TAB2,0,0,1
SLC24A4,1,0,0
GOLGA8S,1,0,0
ZNF397,0,0,1
LIMS2,1,0,0
FLNA,1,0,0
MYH11,1,0,0
CXCL8,0,1,0
NLRP3,0,0,1
CCDC96,0,0,1
HBS1L,0,0,1
ARVCF,0,1,0
C8ORF46,1,0,0
DUT,0,0,1
PDZRN4,1,0,0
MMP12,0,1,0
SUSD3,0,0,1
MAN2A2,0,0,1
STAB1,1,0,0
AICDA,1,0,0
AUNIP,0,1,0
ATP1A2,1,0,0
ARSJ,0,0,1
IL2RG,0,0,1
SNCA,1,0,0
TNFSF18,0,0,1
KCNMB3,0,0,1
ERICH2,0,1,0
RNF24,0,0,1
STX7,0,0,1
TSTA3,0,1,0
GTPBP6,0,0,1
TUBGCP4,0,0,1
BCHE,1,0,0
ARFGEF3,0,0,1
GANC,0,0,1
CFD,1,0,0
CLEC11A,0,0,1
UBE4A,0,0,1
IL1RL2,0,1,0
ZNF257,1,0,0
PTH1R,1,0,0
OTUD1,0,0,1
PRODH2,0,1,0
MED28,0,0,1
FDPS,0,0,1
NXPE2,1,0,0
RXFP3,0,1,0
RPRM,1,0,0
SLC24A3,0,0,1
TTC28,1,0,0
ZGPAT,0,0,1
RMND1,0,0,1
C10ORF107,1,0,0
CEACAM21,0,0,1
AL049779.1,0,1,0
C2CD2L,0,0,1
USP15,0,0,1
FAAH2,0,0,1
CDC42EP5,0,0,1
ELOVL1,0,0,1
MTM1,1,0,0
C5ORF42,0,0,1
PTPMT1,0,0,1
RILPL2,0,0,1
NEK9,0,0,1
ZNF808,0,0,1
CAGE1,0,1,0
CERS4,0,0,1
PCDHGC3,1,0,0
KLB,1,0,0
PAICS,0,1,0
GPR143,0,1,0
BMP7,0,1,0
VBP1,0,0,1
ERCC8,0,0,1
ARC,0,0,1
SRSF10,0,0,1
ALCAM,0,0,1
ZDHHC22,1,0,0
ERFE,0,1,0
B4GALNT3,1,0,0
GTF3C4,0,0,1
TAS2R4,0,0,1
PARD6A,0,1,0
XKR4,1,0,0
CAMP,1,0,0
SLC6A11,0,0,1
BCLAF3,0,0,1
IDH3G,0,0,1
WDR43,0,1,0
TG,0,1,0
PLG,1,0,0
ISLR,0,0,1
NTPCR,0,0,1
PNLIPRP1,0,0,1
CAP1,0,0,1
DCAF17,0,0,1
CLPP,0,0,1
CACNG4,0,1,0
HDGFL3,0,0,1
ZDHHC19,0,0,1
CDK5R2,1,0,0
SAA1,0,1,0
UNC5B,0,0,1
GLYATL3,1,0,0
TROAP,0,1,0
FETUB,1,0,0
CLEC4G,1,0,0
WDR49,1,0,0
NNAT,1,0,0
RPL27,0,0,1
CASP4,0,0,1
GRAMD1B,0,0,1
NEFM,1,0,0
POLR3B,0,0,1
MELK,0,1,0
UBP1,0,0,1
DHX34,0,1,0
TRIM63,1,0,0
UBE2C,0,1,0
MGLL,1,0,0
AK1,0,0,1
CCL15-CCL14,1,0,0
ZNF692,0,1,0
FBXO45,0,0,1
BCR,0,0,1
EBP,0,0,1
ICE2,0,0,1
SYT8,0,1,0
ANXA5,0,0,1
CCDC159,0,0,1
CRADD,0,0,1
YBX2,0,0,1
MUC15,0,1,0
UTP23,0,0,1
CLASRP,0,0,1
PRODH,0,1,0
TEX45,0,1,0
NRXN1,1,0,0
GJA3,0,1,0
STAR,1,0,0
SLC15A1,1,0,0
LRRC73,0,1,0
COMMD5,0,0,1
SUGT1,0,0,1
LNPEP,0,0,1
HNRNPD,0,0,1
UNC5A,0,1,0
KBTBD11,1,0,0
DYNC1I1,1,0,0
SMPD2,0,0,1
SPART,1,0,0
ABRACL,0,0,1
LUC7L2,0,0,1
RNF34,0,0,1
SYNE3,1,0,0
CYBA,0,0,1
ITPKA,1,0,0
GANAB,0,0,1
GPT2,0,1,0
MAML3,0,0,1
DNAJC25,0,0,1
HMG20A,0,0,1
ANK1,0,0,1
PRSS54,0,1,0
PIK3CB,0,0,1
RPP14,0,0,1
BTBD7,0,0,1
TRAPPC12,0,0,1
DCAF4L1,0,1,0
NPRL3,0,1,0
ZNF235,0,0,1
CCDC163,0,0,1
LMO1,1,0,0
LARS2,0,0,1
PHTF2,0,0,1
RORB,1,0,0
CCNC,0,0,1
ABCC1,0,1,0
PCDHGC5,0,0,1
HIST1H2AI,1,0,0
TRIP4,0,0,1
TTC38,0,0,1
POU6F1,0,0,1
SORBS3,0,0,1
HDHD3,0,0,1
CCDC74B,0,0,1
CCNDBP1,0,0,1
MAPT,1,0,0
RANBP1,0,1,0
RARRES2,0,0,1
PIK3C2G,1,0,0
KDM1A,0,0,1
DNAH5,0,1,0
PRB1,0,1,0
RNF219,0,0,1
ZFP36,0,0,1
STOM,1,0,0
WBP11,0,0,1
EML5,1,0,0
CTSG,1,0,0
KRBOX1,0,0,1
TBCCD1,0,0,1
NCKAP1L,1,0,0
ABCB4,0,0,1
ANKMY2,0,0,1
AAR2,0,0,1
IVL,0,1,0
DCUN1D4,0,0,1
R3HDM1,0,0,1
OLR1,0,1,0
TPM2,1,0,0
ARHGAP21,0,0,1
LYRM9,0,0,1
C16ORF89,1,0,0
DIRAS2,1,0,0
PRKD3,0,0,1
KIAA1522,0,0,1
NIPSNAP3A,0,0,1
PLAA,0,0,1
ADAMTSL3,1,0,0
KCNG3,1,0,0
NUP153,0,0,1
C10ORF90,0,0,1
NEK6,0,0,1
ZNF575,1,0,0
RAB11FIP1,0,0,1
POLE3,0,0,1
AXIN1,0,0,1
NIPAL3,0,0,1
PEX26,1,0,0
KCNS3,1,0,0
GPRIN2,1,0,0
CTH,0,0,1
SETDB1,0,0,1
ADCK1,0,0,1
METTL6,0,0,1
PPARA,0,0,1
CC2D1A,0,0,1
ARID4A,0,0,1
SLC7A6,0,1,0
CNTN6,1,0,0
IQCF1,0,1,0
MZT2A,0,1,0
CX3CR1,1,0,0
POU2F3,0,0,1
ZNF560,0,1,0
KLRF2,1,0,0
APBB3,0,0,1
ATXN3,0,0,1
NXN,0,0,1
ARSI,0,0,1
CPS1,0,1,0
PC,1,0,0
TMEM206,0,1,0
MAGEA10,0,1,0
CD96,1,0,0
B3GNT9,0,0,1
GPR39,0,0,1
HTR2B,0,0,1
RPL37,0,0,1
RERGL,1,0,0
NTM,0,0,1
LGR5,0,1,0
TPMT,0,0,1
AKR1B15,1,0,0
TMEM132A,0,1,0
NEK10,0,0,1
TSSK4,0,0,1
CCDC58,0,0,1
MAGEB5,0,1,0
KRCC1,1,0,0
MB,1,0,0
KRIT1,0,0,1
ZMAT2,0,0,1
SMC2,0,0,1
CREG1,0,0,1
GRAMD2B,1,0,0
EPDR1,0,1,0
FAM180B,1,0,0
CCR8,0,1,0
MS4A3,1,0,0
BIN1,0,0,1
GSTP1,0,1,0
LRRC34,0,1,0
DZANK1,0,0,1
DPY19L1,0,0,1
SDR42E1,0,0,1
CGREF1,0,1,0
RGS16,0,1,0
AFMID,0,0,1
ABT1,0,0,1
RIF1,0,0,1
NPIPA8,0,1,0
DAAM2,1,0,0
IL17RA,0,0,1
FLCN,0,0,1
ZSCAN9,0,0,1
TPRG1L,0,0,1
SEMG1,0,1,0
PCSK6,1,0,0
ITSN2,0,0,1
PDE1A,1,0,0
HECW1,0,1,0
TXN,0,0,1
LRRC47,0,0,1
IPCEF1,1,0,0
CLEC2B,0,0,1
KIAA1456,0,0,1
LYG1,0,1,0
C1QTNF8,0,1,0
LRRK1,0,0,1
CFHR1,1,0,0
PYROXD1,0,0,1
FUS,0,0,1
CLTCL1,0,0,1
TMEM269,0,0,1
PIK3CA,0,0,1
BCKDHB,0,0,1
SLCO4C1,1,0,0
RPS6KA5,1,0,0
DPEP3,1,0,0
KLK11,0,1,0
KRT4,0,1,0
SLURP1,0,1,0
MBD3,0,0,1
AJUBA,0,1,0
AP1S3,0,1,0
PDZD4,1,0,0
SMARCD3,0,0,1
RAN,0,1,0
NNT,0,0,1
MFSD12,0,1,0
ATXN1L,0,0,1
RELT,0,1,0
C11ORF54,0,0,1
PRSS36,1,0,0
SLC35D3,0,1,0
PLA2G3,0,1,0
FBXL17,0,0,1
VPS35,0,0,1
KHDRBS2,1,0,0
RRP1,0,1,0
TSLP,1,0,0
OSGEPL1,0,0,1
TM7SF2,0,1,0
TUBGCP6,0,0,1
FHL2,0,0,1
WASHC2A,0,0,1
EXOSC3,0,0,1
DDX21,0,1,0
DTX1,0,0,1
MRPL23,0,0,1
RTFDC1,0,0,1
PLCL2,1,0,0
CNGB1,1,0,0
ZNF860,0,1,0
OTUB2,0,1,0
TTLL9,0,1,0
CTDNEP1,0,0,1
SLC22A14,0,0,1
CXORF38,0,0,1
GRIN3A,1,0,0
CDK5RAP3,0,0,1
VDAC2,0,0,1
ASAH2B,0,0,1
DNASE2,0,0,1
PLEK,0,0,1
SMIM23,0,1,0
ATRIP,0,0,1
EIF4G3,0,0,1
GRIN2A,1,0,0
SSFA2,0,0,1
TAL1,1,0,0
SDHAF4,0,0,1
TEX11,1,0,0
MFSD14B,0,0,1
ZCCHC11,0,0,1
SMARCA2,0,0,1
NINJ2,0,0,1
SLC34A1,0,1,0
BOD1,0,0,1
SLC39A3,0,0,1
DDX52,0,0,1
ZNF207,0,0,1
BRIP1,0,1,0
MTMR4,0,0,1
RMND5A,0,0,1
HTR3A,1,0,0
TCF7,0,1,0
HIPK1,0,0,1
TOX2,0,0,1
BCL7C,0,0,1
MLC1,0,0,1
CLDN6,0,1,0
SERPINH1,0,1,0
DNAJC18,0,0,1
BTF3,0,0,1
PWWP2B,0,0,1
BAG2,0,0,1
CASP14,0,1,0
EVI2B,1,0,0
STX16,0,0,1
VSIG10,0,0,1
MPEG1,1,0,0
MEIS3,0,0,1
LTA4H,0,0,1
TMCO2,0,1,0
CLDN10,0,1,0
FAM50A,0,0,1
CD164,0,0,1
FOXF1,1,0,0
PQLC1,0,0,1
TMEM30B,1,0,0
DENND3,0,0,1
MGME1,0,0,1
GPX1,0,0,1
UBAP2,0,0,1
ZNF706,0,0,1
AK5,1,0,0
DCLK1,1,0,0
ARHGEF25,1,0,0
TTC9B,0,0,1
GORAB,0,0,1
NNMT,0,0,1
GPR180,0,1,0
CEP83,0,0,1
TGS1,0,0,1
PTGS1,1,0,0
AC011604.2,0,1,0
C8ORF88,1,0,0
STARD3,0,0,1
C21ORF2,0,0,1
APCDD1,0,1,0
ZNF485,0,1,0
AMN,1,0,0
DENND1B,0,0,1
ADGRG1,0,1,0
COL9A3,0,1,0
IMPA2,0,0,1
CFAP47,0,1,0
SORT1,0,0,1
ASPA,1,0,0
CD27,1,0,0
SAMD12,0,0,1
TBCEL,0,0,1
KIAA0232,0,0,1
STXBP1,0,1,0
DNASE2B,0,0,1
RBFOX1,1,0,0
HCN3,0,0,1
C16ORF70,0,0,1
MYADML2,0,1,0
SOHLH2,1,0,0
OR10Q1,0,1,0
CROCC2,0,0,1
MGAT5,0,0,1
ADA2,1,0,0
GOLGB1,0,0,1
EXOC7,0,0,1
SCNN1G,1,0,0
MTRF1,0,0,1
LEXM,1,0,0
NOP56,0,1,0
C7ORF31,1,0,0
ZNF287,0,0,1
INHBC,0,0,1
SLC5A12,0,0,1
RB1,0,0,1
ERI3,0,0,1
DCTPP1,0,0,1
NECAB1,1,0,0
FRMPD2,0,1,0
INPP5J,1,0,0
PSMA5,0,0,1
CD300LG,1,0,0
DICER1,0,0,1
WDR24,0,0,1
CEP95,0,0,1
SUFU,0,0,1
S1PR5,0,1,0
DLL1,0,0,1
TFIP11,0,0,1
HMGB3,0,0,1
PBX1,1,0,0
DUSP7,0,0,1
C17ORF99,0,1,0
FGFBP2,1,0,0
