"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GPC3",0,0,0,0,0,0
"AGRN",2,2,2,2,2,2
"ADGRA3",0,0,0,0,0,0
"LRRC75A",1,1,1,1,1,1
"F10",0,0,0,0,0,0
"PHLDA3",1,1,1,1,1,1
"ARAP2",2,2,2,2,2,2
"CTXND1",1,1,1,1,1,1
"TNS3",0,0,0,0,0,0
"EPHA3",0,0,0,0,0,0
"DLGAP4",2,2,2,2,2,2
"RELN",0,0,0,0,0,0
"BMP2",0,0,0,0,0,0
"GLT1D1",1,1,1,1,1,1
"TNFRSF10B",2,2,2,2,2,2
"CTH",0,0,0,0,0,0
"B3GNT7",1,1,1,1,1,1
"BCL2L11",2,2,2,2,2,2
"THRSP",1,1,1,1,1,1
"MTHFD1L",2,2,2,2,2,2
"FIBCD1",1,1,1,1,1,1
"TRA2B",2,2,2,2,2,2
"LIMK1",2,2,2,2,2,2
"NPC2",1,1,1,1,1,1
"HECTD3",2,2,2,2,2,2
"PPP1R9B",2,2,2,2,2,2
"LRIG1",0,0,0,0,0,0
"ECM1",1,1,1,1,1,1
"FAM35A",2,2,2,2,2,2
"ELMO2",2,2,2,2,2,2
"CXORF57",0,0,0,0,0,0
"DDB2",1,1,1,1,1,1
"ACKR2",0,0,0,0,0,0
"KIAA2013",2,2,2,2,2,2
"DYSF",1,1,1,1,1,1
"ELFN1",1,1,1,1,1,1
"BBC3",1,1,1,1,1,1
"METTL7B",1,1,1,1,1,1
"HEY2",1,1,1,1,1,1
"COL11A1",1,1,1,1,1,1
"CSGALNACT1",0,0,0,0,0,0
"TCEAL9",2,2,2,2,2,2
"PLEKHN1",1,1,1,1,1,1
"ETV4",1,1,1,1,1,1
"SPTBN2",1,1,1,1,1,1
"GLRB",1,1,1,1,1,1
"LAYN",0,0,0,0,0,0
"AKR1E2",0,0,0,0,0,0
"PSD3",1,1,1,1,1,1
"DENND6A",2,2,2,2,2,2
"FSTL4",1,1,1,1,1,1
"SEMA4C",2,2,2,2,2,2
"CDKN2B",1,1,1,1,1,1
"ST3GAL5",1,1,1,1,1,1
"ABCC11",1,1,1,1,1,1
"JAG2",1,1,1,1,1,1
"FOLH1",1,1,1,1,1,1
"ADCY8",1,1,1,1,1,1
"TLE4",0,0,0,0,0,0
"ATXN7L1",2,2,2,2,2,2
"MATN2",0,0,0,0,0,0
"TFPI",0,0,0,0,0,0
"PGPEP1",2,2,2,2,2,2
"ACTN4",2,2,2,2,2,2
"FRMD3",1,1,1,1,1,1
"MAMLD1",1,1,1,1,1,1
"MYH15",0,0,0,0,0,0
"GOLT1A",1,1,1,1,1,1
"TRIM47",1,1,1,1,1,1
"SH3GL1",2,2,2,2,2,2
"AGPAT4",0,0,0,0,0,0
"CDH6",1,1,1,1,1,1
"PRKCQ",0,0,0,0,0,0
"GALE",1,1,1,1,1,1
"RAB27A",1,1,1,1,1,1
"CITED1",1,1,1,1,1,1
"PDGFA",1,1,1,1,1,1
"ATP2C2",0,0,0,0,0,0
"KLHL4",0,0,0,0,0,0
"MYEF2",1,1,1,1,1,1
"KIZ",2,2,2,2,2,2
"GPM6A",0,0,0,0,0,0
"TLE1",0,0,0,0,0,0
"RIPPLY3",1,1,1,1,1,1
"ANKS1B",0,0,0,0,0,0
"UBTD1",2,2,2,2,2,2
"MARCH4",1,1,1,1,1,1
"RAPGEF5",1,1,1,1,1,1
"XPR1",1,1,1,1,1,1
"TMEM8A",2,2,2,2,2,2
"ZNF548",2,2,2,2,2,2
"CYTH3",2,2,2,2,2,2
"IPCEF1",0,0,0,0,0,0
"DDX25",0,0,0,0,0,0
"CCDC81",0,0,0,0,0,0
"GPRC5B",1,1,1,1,1,1
"TPD52L1",1,1,1,1,1,1
"GHR",0,0,0,0,0,0
"C11ORF80",1,1,1,1,1,1
"PLEKHA2",2,2,2,2,2,2
"RPS6KA6",0,0,0,0,0,0
"NOX4",1,1,1,1,1,1
"SLC25A33",0,0,0,0,0,0
"ALK",1,1,1,1,1,1
"CBX2",2,2,2,2,2,2
"MEAF6",2,2,2,2,2,2
"SFTPA1",1,1,1,1,1,1
"QPCT",1,1,1,1,1,1
"CITED2",0,0,0,0,0,0
"CDC42BPG",2,2,2,2,2,2
"METTL4",2,2,2,2,2,2
"RCN2",2,2,2,2,2,2
"SMARCA4",2,2,2,2,2,2
"CDH13",1,1,1,1,1,1
"MAP4K4",2,2,2,2,2,2
"DUSP4",1,1,1,1,1,1
"SH3RF1",2,2,2,2,2,2
"KCNK5",2,2,2,2,2,2
"GRHL3",1,1,1,1,1,1
"MCTP2",2,2,2,2,2,2
"USP54",2,2,2,2,2,2
"OIT3",1,1,1,1,1,1
"SLC35F2",1,1,1,1,1,1
"FAM53C",2,2,2,2,2,2
"MLLT1",2,2,2,2,2,2
"DNAH7",0,0,0,0,0,0
"PRKX",0,0,0,0,0,0
"FTCDNL1",0,0,0,0,0,0
"GATAD2A",2,2,2,2,2,2
"CDH24",1,1,1,1,1,1
"ABCA10",0,0,0,0,0,0
"MMS19",2,2,2,2,2,2
"ZFP36L2",2,2,2,2,2,2
"NACC1",2,2,2,2,2,2
"CORO2A",1,1,1,1,1,1
"RCC2",2,2,2,2,2,2
"FHDC1",0,0,0,0,0,0
"FAM84A",1,1,1,1,1,1
"RBMXL1",2,2,2,2,2,2
"GAP43",1,1,1,1,1,1
"H2AFY",2,2,2,2,2,2
"TMEM232",0,0,0,0,0,0
"CCDC146",0,0,0,0,0,0
"RYR2",0,0,0,0,0,0
"HSDL1",2,2,2,2,2,2
"CEP170B",2,2,2,2,2,2
"PROX1",0,0,0,0,0,0
"FAM178B",1,1,1,1,1,1
"ZBTB21",2,2,2,2,2,2
"GPR4",1,1,1,1,1,1
"MAST2",2,2,2,2,2,2
"PRR36",1,1,1,1,1,1
"PRSS1",1,1,1,1,1,1
"PCSK6",0,0,0,0,0,0
"ANKRD37",0,0,0,0,0,0
"MGAT4B",2,2,2,2,2,2
"XKR5",1,1,1,1,1,1
"MRC2",1,1,1,1,1,1
"SPRY4",1,1,1,1,1,1
"CDH3",1,1,1,1,1,1
"EDA2R",1,1,1,1,1,1
"DZIP3",2,2,2,2,2,2
"PCDH17",1,1,1,1,1,1
"P2RX5-TAX1BP3",2,2,2,2,2,2
"TOR4A",2,2,2,2,2,2
"NOTCH3",1,1,1,1,1,1
"DCDC1",0,0,0,0,0,0
"HIP1",2,2,2,2,2,2
"CCDC173",0,0,0,0,0,0
"STARD13",0,0,0,0,0,0
"ZFPM2",0,0,0,0,0,0
"AP2A1",2,2,2,2,2,2
"SLC17A7",0,0,0,0,0,0
"TGFB1I1",2,2,2,2,2,2
"GARNL3",0,0,0,0,0,0
"FBXO30",2,2,2,2,2,2
"MSN",2,2,2,2,2,2
"PMEPA1",1,1,1,1,1,1
"C1ORF216",2,2,2,2,2,2
"B3GAT1",1,1,1,1,1,1
"RMDN1",2,2,2,2,2,2
"LOXL2",1,1,1,1,1,1
"SBSPON",0,0,0,0,0,0
"NRP2",1,1,1,1,1,1
"ITGA3",1,1,1,1,1,1
"MMP11",1,1,1,1,1,1
"MANEAL",1,1,1,1,1,1
"ARMC2",2,2,2,2,2,2
"UBE2QL1",1,1,1,1,1,1
"SLC15A4",2,2,2,2,2,2
"EPHB1",0,0,0,0,0,0
"IGSF9B",0,0,0,0,0,0
"INSR",2,2,2,2,2,2
"CLMN",0,0,0,0,0,0
"IQCG",2,2,2,2,2,2
"GGCT",1,1,1,1,1,1
"C16ORF45",1,1,1,1,1,1
"SFXN3",2,2,2,2,2,2
"MAP3K6",2,2,2,2,2,2
"CA13",2,2,2,2,2,2
"GLUL",2,2,2,2,2,2
"CTTN",2,2,2,2,2,2
"MDC1",2,2,2,2,2,2
"ARHGAP23",1,1,1,1,1,1
"PRELID3A",1,1,1,1,1,1
"SAMD1",2,2,2,2,2,2
"VANGL1",2,2,2,2,2,2
"CD276",2,2,2,2,2,2
"IHH",0,0,0,0,0,0
"CD44",2,2,2,2,2,2
"FJX1",1,1,1,1,1,1
"SLC25A25",0,0,0,0,0,0
"GRIA1",0,0,0,0,0,0
"TOMM34",2,2,2,2,2,2
"PLCD3",1,1,1,1,1,1
"PLEKHG5",2,2,2,2,2,2
"CDADC1",2,2,2,2,2,2
"ZNF17",2,2,2,2,2,2
"LONRF3",0,0,0,0,0,0
"DDAH1",2,2,2,2,2,2
"CHD4",2,2,2,2,2,2
"FGF1",1,1,1,1,1,1
"SCML2",0,0,0,0,0,0
"PROS1",1,1,1,1,1,1
"C11ORF74",0,0,0,0,0,0
"MMP13",1,1,1,1,1,1
"C11ORF49",2,2,2,2,2,2
"NUP50",2,2,2,2,2,2
"KLHL2",2,2,2,2,2,2
"AC068896.1",0,0,0,0,0,0
"TBL1X",2,2,2,2,2,2
"RIN1",1,1,1,1,1,1
"ENDOD1",1,1,1,1,1,1
"RETN",1,1,1,1,1,1
"TAX1BP3",2,2,2,2,2,2
"ARHGAP6",0,0,0,0,0,0
"CDH4",1,1,1,1,1,1
"SETDB2",2,2,2,2,2,2
"TMEM171",0,0,0,0,0,0
"RARA",2,2,2,2,2,2
"DHDH",1,1,1,1,1,1
"CLUL1",0,0,0,0,0,0
"APLN",1,1,1,1,1,1
"SH2D4A",2,2,2,2,2,2
"LASP1",2,2,2,2,2,2
"ITGA2",1,1,1,1,1,1
"HMGA2",1,1,1,1,1,1
"SOX5",0,0,0,0,0,0
"CLDN16",1,1,1,1,1,1
"NMNAT3",0,0,0,0,0,0
"LRRK2",1,1,1,1,1,1
"TMC7",1,1,1,1,1,1
"KNOP1",2,2,2,2,2,2
"PRMT9",2,2,2,2,2,2
"PLAU",1,1,1,1,1,1
"POLI",2,2,2,2,2,2
"MAPK13",2,2,2,2,2,2
"TFCP2L1",0,0,0,0,0,0
"CSPP1",2,2,2,2,2,2
"FHOD1",2,2,2,2,2,2
"ADH1B",0,0,0,0,0,0
"RASD2",1,1,1,1,1,1
"BID",1,1,1,1,1,1
"SEZ6L2",1,1,1,1,1,1
"RAD23B",2,2,2,2,2,2
"AMD1",2,2,2,2,2,2
"NSMCE3",2,2,2,2,2,2
"EYA1",0,0,0,0,0,0
"GRB7",1,1,1,1,1,1
"NPDC1",1,1,1,1,1,1
"LZTS1",1,1,1,1,1,1
"PC",1,1,1,1,1,1
"PCF11",2,2,2,2,2,2
"CCDC54",0,0,0,0,0,0
"NEK10",0,0,0,0,0,0
"CRLF1",1,1,1,1,1,1
"KCTD16",0,0,0,0,0,0
"GABRD",1,1,1,1,1,1
"NPTXR",1,1,1,1,1,1
"MCAM",1,1,1,1,1,1
"TRAF6",2,2,2,2,2,2
"SCN1B",1,1,1,1,1,1
"DLG2",0,0,0,0,0,0
"MBOAT7",2,2,2,2,2,2
"ELL2",2,2,2,2,2,2
"LSR",2,2,2,2,2,2
"RGS3",2,2,2,2,2,2
"CHST2",1,1,1,1,1,1
"MAGEF1",2,2,2,2,2,2
"MFGE8",1,1,1,1,1,1
"AIF1L",0,0,0,0,0,0
"TBC1D2",1,1,1,1,1,1
"WWOX",2,2,2,2,2,2
"CD177",1,1,1,1,1,1
"EPHA6",0,0,0,0,0,0
"KL",1,1,1,1,1,1
"RAB15",2,2,2,2,2,2
"LAD1",1,1,1,1,1,1
"CLEC16A",2,2,2,2,2,2
"PERM1",1,1,1,1,1,1
"FLII",2,2,2,2,2,2
"CX3CL1",1,1,1,1,1,1
"C5AR2",1,1,1,1,1,1
"EEF1A2",1,1,1,1,1,1
"DOCK6",2,2,2,2,2,2
"GPR87",1,1,1,1,1,1
"DCHS2",1,1,1,1,1,1
"ADH1C",0,0,0,0,0,0
"PML",2,2,2,2,2,2
"CAMK2N2",1,1,1,1,1,1
"GRAMD1A",2,2,2,2,2,2
"HAPLN1",1,1,1,1,1,1
"DOK4",2,2,2,2,2,2
"CREG2",1,1,1,1,1,1
"FUT1",2,2,2,2,2,2
"CLTCL1",2,2,2,2,2,2
"PON2",2,2,2,2,2,2
"KRT6A",1,1,1,1,1,1
"PKDREJ",0,0,0,0,0,0
"NEK11",2,2,2,2,2,2
"SYTL1",1,1,1,1,1,1
"ZNF235",2,2,2,2,2,2
"ANK2",0,0,0,0,0,0
"TTC30A",2,2,2,2,2,2
"UBE2I",2,2,2,2,2,2
"UTS2B",0,0,0,0,0,0
"AGR3",0,0,0,0,0,0
"SNX25",1,1,1,1,1,1
"CLDN1",1,1,1,1,1,1
"FYN",2,2,2,2,2,2
"BBOF1",2,2,2,2,2,2
"PRSS2",1,1,1,1,1,1
"PI4K2B",2,2,2,2,2,2
"NCS1",2,2,2,2,2,2
"STX2",2,2,2,2,2,2
"ACACB",0,0,0,0,0,0
"NINJ1",2,2,2,2,2,2
"GUCY1B3",1,1,1,1,1,1
"CYBRD1",2,2,2,2,2,2
"PDE1C",1,1,1,1,1,1
"DPT",0,0,0,0,0,0
"SYNE1",0,0,0,0,0,0
"BAX",2,2,2,2,2,2
"ISYNA1",1,1,1,1,1,1
"NID1",1,1,1,1,1,1
"IL17RD",1,1,1,1,1,1
"DUSP6",1,1,1,1,1,1
"CAMK1D",0,0,0,0,0,0
"COL8A1",1,1,1,1,1,1
"CSMD1",1,1,1,1,1,1
"SERHL2",0,0,0,0,0,0
"CYP7B1",0,0,0,0,0,0
"BLOC1S2",2,2,2,2,2,2
"ZBTB5",2,2,2,2,2,2
"JUN",0,0,0,0,0,0
"LYPLA2",2,2,2,2,2,2
"NAT8L",1,1,1,1,1,1
"TGFBR1",1,1,1,1,1,1
"SIPA1L2",1,1,1,1,1,1
"SLC6A1",1,1,1,1,1,1
"AGR2",1,1,1,1,1,1
"TMEM117",2,2,2,2,2,2
"MIS12",2,2,2,2,2,2
"TGFB1",1,1,1,1,1,1
"F2R",1,1,1,1,1,1
"DNAH6",0,0,0,0,0,0
"MAP3K8",2,2,2,2,2,2
"LEMD1",1,1,1,1,1,1
"B4GALNT3",1,1,1,1,1,1
"ADAMTS9",1,1,1,1,1,1
"RASSF6",0,0,0,0,0,0
"STRN4",2,2,2,2,2,2
"PLD3",2,2,2,2,2,2
"COL13A1",1,1,1,1,1,1
"RBM15",2,2,2,2,2,2
"PSG1",1,1,1,1,1,1
"HBB",0,0,0,0,0,0
"TMEM132D",1,1,1,1,1,1
"RNF150",0,0,0,0,0,0
"CDC42EP1",1,1,1,1,1,1
"KCNA1",0,0,0,0,0,0
"CSPG4",1,1,1,1,1,1
"MYLK4",2,2,2,2,2,2
"FAM46B",0,0,0,0,0,0
"CFAP61",0,0,0,0,0,0
"FBXO22",2,2,2,2,2,2
"TENM1",1,1,1,1,1,1
"MRPS14",2,2,2,2,2,2
"MTMR11",1,1,1,1,1,1
"NECTIN4",1,1,1,1,1,1
"TRMO",2,2,2,2,2,2
"ZNF181",2,2,2,2,2,2
"N4BP2",2,2,2,2,2,2
"PXDN",1,1,1,1,1,1
"AP1S1",2,2,2,2,2,2
"ENC1",1,1,1,1,1,1
"DHX32",2,2,2,2,2,2
"SDC4",1,1,1,1,1,1
"GJC1",1,1,1,1,1,1
"PLCH1",0,0,0,0,0,0
"GLS2",1,1,1,1,1,1
"MLLT3",2,2,2,2,2,2
"UBFD1",2,2,2,2,2,2
"PAX6",2,2,2,2,2,2
"DOLK",2,2,2,2,2,2
"E2F1",1,1,1,1,1,1
"LRRIQ1",0,0,0,0,0,0
"SENP8",2,2,2,2,2,2
"NTM",1,1,1,1,1,1
"USB1",2,2,2,2,2,2
"PSG8",1,1,1,1,1,1
"CNP",2,2,2,2,2,2
"ANGPTL1",0,0,0,0,0,0
"NGEF",1,1,1,1,1,1
"TNIK",2,2,2,2,2,2
"NFATC2",2,2,2,2,2,2
"NUAK2",0,0,0,0,0,0
"ZHX3",2,2,2,2,2,2
"TIAM1",1,1,1,1,1,1
"RINL",2,2,2,2,2,2
"RTTN",2,2,2,2,2,2
"RHBDD2",2,2,2,2,2,2
"SMAGP",2,2,2,2,2,2
"LDLRAD3",2,2,2,2,2,2
"RPS27L",2,2,2,2,2,2
"EGR2",0,0,0,0,0,0
"RARG",2,2,2,2,2,2
"PDLIM7",2,2,2,2,2,2
"PAQR4",1,1,1,1,1,1
"TTF1",2,2,2,2,2,2
"FAM220A",2,2,2,2,2,2
"DDX52",2,2,2,2,2,2
"SYP",0,0,0,0,0,0
"GLI1",0,0,0,0,0,0
"IL13RA1",2,2,2,2,2,2
"MAGI2",2,2,2,2,2,2
"ZNF710",2,2,2,2,2,2
"FAXC",1,1,1,1,1,1
"LRRN4CL",0,0,0,0,0,0
"MPL",0,0,0,0,0,0
"ZNF330",2,2,2,2,2,2
"MET",1,1,1,1,1,1
"RFXAP",2,2,2,2,2,2
"TMEM253",0,0,0,0,0,0
"LPAR1",0,0,0,0,0,0
"CDKN2A",1,1,1,1,1,1
"PRTG",0,0,0,0,0,0
"SLC26A7",0,0,0,0,0,0
"PDLIM3",0,0,0,0,0,0
"ENO4",0,0,0,0,0,0
"MTSS1L",2,2,2,2,2,2
"CDH2",1,1,1,1,1,1
"HRH1",1,1,1,1,1,1
"SNX24",2,2,2,2,2,2
"BCL2",0,0,0,0,0,0
"IBA57",2,2,2,2,2,2
"C16ORF46",2,2,2,2,2,2
"LPAR5",1,1,1,1,1,1
"SLC7A4",1,1,1,1,1,1
"HIGD1B",1,1,1,1,1,1
"MYNN",2,2,2,2,2,2
"TSTA3",2,2,2,2,2,2
"TGFBR3",2,2,2,2,2,2
"CLDN2",1,1,1,1,1,1
"KLHL33",0,0,0,0,0,0
"RC3H1",2,2,2,2,2,2
"PCLO",0,0,0,0,0,0
"SOX4",1,1,1,1,1,1
"CPNE2",2,2,2,2,2,2
"ABCB9",2,2,2,2,2,2
"IL1RAP",1,1,1,1,1,1
"ART4",0,0,0,0,0,0
"USP49",2,2,2,2,2,2
"CEP85L",2,2,2,2,2,2
"LIPH",1,1,1,1,1,1
"RUNX1",1,1,1,1,1,1
"SOX11",1,1,1,1,1,1
"RAB34",2,2,2,2,2,2
"SERPINA1",1,1,1,1,1,1
"TNFRSF11B",0,0,0,0,0,0
"ABCC3",1,1,1,1,1,1
"VIT",0,0,0,0,0,0
"PQLC1",2,2,2,2,2,2
"GBX2",1,1,1,1,1,1
"MVP",1,1,1,1,1,1
"CXXC5",2,2,2,2,2,2
"GSS",2,2,2,2,2,2
"HOXD1",1,1,1,1,1,1
"OSR1",0,0,0,0,0,0
"CNTN5",0,0,0,0,0,0
"TCEAL5",0,0,0,0,0,0
"RNFT2",2,2,2,2,2,2
"MNS1",2,2,2,2,2,2
"INF2",1,1,1,1,1,1
"ARHGEF2",2,2,2,2,2,2
"DOCK9",2,2,2,2,2,2
"ADAM33",0,0,0,0,0,0
"CLEC4M",0,0,0,0,0,0
"DUSP13",1,1,1,1,1,1
"UBL4A",2,2,2,2,2,2
"C4ORF22",0,0,0,0,0,0
"TUBG1",2,2,2,2,2,2
"BRINP1",1,1,1,1,1,1
"DIRAS3",1,1,1,1,1,1
"ABHD17C",2,2,2,2,2,2
"SLC2A13",1,1,1,1,1,1
"WDR72",0,0,0,0,0,0
"DCAF17",2,2,2,2,2,2
"AOX1",0,0,0,0,0,0
"SLC1A7",0,0,0,0,0,0
"GCSAM",0,0,0,0,0,0
"DNAJC27",2,2,2,2,2,2
"PEA15",2,2,2,2,2,2
"CD151",2,2,2,2,2,2
"PRSS23",1,1,1,1,1,1
"S100A16",2,2,2,2,2,2
"SLIT1",1,1,1,1,1,1
"ELK1",2,2,2,2,2,2
"DVL1",2,2,2,2,2,2
"DPP4",1,1,1,1,1,1
"PDE9A",1,1,1,1,1,1
"QRFP",2,2,2,2,2,2
"C1QTNF12",1,1,1,1,1,1
"ID4",0,0,0,0,0,0
"C1QTNF7",0,0,0,0,0,0
"MTERF4",2,2,2,2,2,2
"DEGS1",2,2,2,2,2,2
"NCKIPSD",2,2,2,2,2,2
"NADK2",2,2,2,2,2,2
"CFAP43",0,0,0,0,0,0
"TYRO3",1,1,1,1,1,1
"AP2M1",2,2,2,2,2,2
"CFI",1,1,1,1,1,1
"PDE5A",1,1,1,1,1,1
"SNAPC2",2,2,2,2,2,2
"ZNF527",2,2,2,2,2,2
"CHPF2",2,2,2,2,2,2
"EMILIN2",1,1,1,1,1,1
"EVPL",2,2,2,2,2,2
"SFTPA2",1,1,1,1,1,1
"DEPTOR",0,0,0,0,0,0
"PLXNA3",2,2,2,2,2,2
"LIFR",0,0,0,0,0,0
"C4ORF47",0,0,0,0,0,0
"BCL2L1",2,2,2,2,2,2
"TMC6",1,1,1,1,1,1
"SPATA2",2,2,2,2,2,2
"S100A11",1,1,1,1,1,1
"ART5",0,0,0,0,0,0
"SMOC2",0,0,0,0,0,0
"ITGA6",2,2,2,2,2,2
"PAPSS1",2,2,2,2,2,2
"SCG3",0,0,0,0,0,0
"KRT17",1,1,1,1,1,1
"MDFI",1,1,1,1,1,1
"SLC35C1",2,2,2,2,2,2
"REEP3",2,2,2,2,2,2
"SFMBT1",2,2,2,2,2,2
"APLP2",2,2,2,2,2,2
"SPATA18",1,1,1,1,1,1
"PLXNC1",1,1,1,1,1,1
"CDC14B",2,2,2,2,2,2
"TESC",1,1,1,1,1,1
"MAD2L2",2,2,2,2,2,2
"CA7",1,1,1,1,1,1
"ACAN",1,1,1,1,1,1
"ABTB2",1,1,1,1,1,1
"SLC6A16",0,0,0,0,0,0
"CPNE3",2,2,2,2,2,2
"SPRED3",2,2,2,2,2,2
"CD63",2,2,2,2,2,2
"LRRCC1",2,2,2,2,2,2
"CHRDL1",0,0,0,0,0,0
"CC2D2B",1,1,1,1,1,1
"TNFRSF1A",2,2,2,2,2,2
"LINGO1",1,1,1,1,1,1
"FGFR2",2,2,2,2,2,2
"TERF1",2,2,2,2,2,2
"CELF4",1,1,1,1,1,1
"UGT3A2",1,1,1,1,1,1
"TMEM92",1,1,1,1,1,1
"C6ORF118",0,0,0,0,0,0
"CMTM3",1,1,1,1,1,1
"SPARC",2,2,2,2,2,2
"SPATA17",2,2,2,2,2,2
"FAM180B",0,0,0,0,0,0
"GPRIN1",1,1,1,1,1,1
"IDI1",2,2,2,2,2,2
"C9ORF92",0,0,0,0,0,0
"TMEM220",0,0,0,0,0,0
"ALDH3B1",1,1,1,1,1,1
"MTUS1",2,2,2,2,2,2
"FRAS1",0,0,0,0,0,0
"SHANK2",0,0,0,0,0,0
"TOB1",0,0,0,0,0,0
"CBLN4",1,1,1,1,1,1
"SSH3",2,2,2,2,2,2
"ARL6IP5",2,2,2,2,2,2
"ADH5",2,2,2,2,2,2
"REN",1,1,1,1,1,1
"MCEMP1",1,1,1,1,1,1
"EHD2",2,2,2,2,2,2
"ZNF791",2,2,2,2,2,2
"SREBF1",2,2,2,2,2,2
"SETBP1",2,2,2,2,2,2
"KLK13",1,1,1,1,1,1
"C2ORF73",0,0,0,0,0,0
"LYSMD3",2,2,2,2,2,2
"C1ORF226",1,1,1,1,1,1
"MPV17",2,2,2,2,2,2
"FAHD2A",2,2,2,2,2,2
"ADAM15",2,2,2,2,2,2
"SCARB2",2,2,2,2,2,2
"CXCL5",1,1,1,1,1,1
"RASAL2",2,2,2,2,2,2
"ANKRD27",2,2,2,2,2,2
"ZNF565",2,2,2,2,2,2
"RAB11A",2,2,2,2,2,2
"PI4K2A",2,2,2,2,2,2
"TNXB",0,0,0,0,0,0
"STK32B",0,0,0,0,0,0
"TRPC4",1,1,1,1,1,1
"PLEKHM2",2,2,2,2,2,2
"PTX3",0,0,0,0,0,0
"PPP1R15B",2,2,2,2,2,2
"ZNF782",2,2,2,2,2,2
"MMP7",1,1,1,1,1,1
"PLEKHH3",2,2,2,2,2,2
"YARS",2,2,2,2,2,2
"CAB39L",2,2,2,2,2,2
"PRDM1",1,1,1,1,1,1
"CHST6",1,1,1,1,1,1
"MAGEH1",2,2,2,2,2,2
"TIMP1",1,1,1,1,1,1
"FAM126B",2,2,2,2,2,2
"B3GNT8",1,1,1,1,1,1
"NPTX2",1,1,1,1,1,1
"ST14",2,2,2,2,2,2
"KIAA1456",0,0,0,0,0,0
"UPF1",2,2,2,2,2,2
"UPP1",1,1,1,1,1,1
"ACOX1",2,2,2,2,2,2
"TSPAN19",0,0,0,0,0,0
"KCNQ3",1,1,1,1,1,1
"HS6ST2",1,1,1,1,1,1
"CCSER1",0,0,0,0,0,0
"RHBDF1",2,2,2,2,2,2
"CENPJ",0,0,0,0,0,0
"ZC3H12C",2,2,2,2,2,2
"EMSY",2,2,2,2,2,2
"UBE2A",2,2,2,2,2,2
"KCP",1,1,1,1,1,1
"TANC2",2,2,2,2,2,2
"TUBA8",0,0,0,0,0,0
"ATIC",2,2,2,2,2,2
"POU2F3",1,1,1,1,1,1
"IER5",2,2,2,2,2,2
"USP16",2,2,2,2,2,2
"SHROOM1",2,2,2,2,2,2
"IBSP",1,1,1,1,1,1
"DSEL",2,2,2,2,2,2
"GABPB2",2,2,2,2,2,2
"ZNF852",2,2,2,2,2,2
"MAP3K11",2,2,2,2,2,2
