,log2FoldChange
DNAH17,1
C1QL1,1
TMEM38A,0
DBF4B,1
C18ORF54,1
GORASP1,2
CHP1,2
KRT4,0
LDHD,0
SLC13A2,0
MYH15,0
CAP2,0
WWC1,0
KRT78,0
DLX6,1
PIF1,1
MMP3,1
ATP6V1C1,2
CHEK1,1
LDB3,0
TREM1,1
CENPL,1
SMAGP,0
TMEM184B,2
SOST,1
CFAP61,0
MELK,1
TNFSF4,1
CTHRC1,1
FHL1,0
LSMEM1,0
CLYBL,0
CSAG1,1
BST2,1
PRKN,0
TLX2,1
KNSTRN,1
GINS1,1
ANKS1B,0
UBE2S,1
HSPB6,0
CDCA4,1
TPM2,0
HAP1,1
MAP1LC3C,0
SLC35C1,0
SUN3,1
PKIA,0
PPL,0
MMP14,1
GPT2,0
HOXC4,1
PRKAR2A,2
NT5DC4,1
FN1,1
FMO5,0
NEMP1,1
KRT33B,0
KRTAP3-2,0
ZFP92,1
KIF1C,0
CBX3,2
LY6K,1
ATP5A1,2
PIMREG,1
KLF7,1
ALPP,1
SMC1B,1
FANCA,1
PPP1R3C,0
PLOD1,1
FANCI,1
KY,0
WDR66,1
PDE12,2
UCP3,0
CUL3,2
P4HA3,1
IL24,1
CDKN2AIP,0
LINGO4,0
PADI1,0
UBE2T,1
LYRM7,0
TNFRSF11A,0
APPL1,0
PIP,0
ANK2,0
ERBB4,0
CEACAM1,0
ZBTB47,0
DNALI1,0
ESRRG,0
ORC1,1
MAGEA11,1
CCL14,0
ASB16,0
TCP11L2,0
ACOX1,2
PCSK9,1
PLN,0
SCP2,2
TDRD3,2
P3H4,1
STBD1,0
FGD6,1
PDIA5,1
C15ORF62,0
DPF3,0
RHEBL1,1
NUF2,1
HASPIN,1
RTN4R,1
FAM47E,0
KLHL38,0
PLA2G12A,2
C9ORF24,0
CCDC173,0
HOMER3,1
RAD54B,1
MUC22,0
USB1,1
FAM72A,1
FHL3,0
RYR1,0
TMEM63A,0
NCAPG,1
RNF180,0
TLE2,0
CYP27B1,1
FABP3,0
IKBIP,1
GPX3,0
CAST,0
DOPEY2,0
KRT32,0
SLC16A6,0
TCF3,2
HKDC1,1
EIF2AK2,1
FMNL3,1
ALDH6A1,0
TM4SF19,1
CHST2,1
LRRC39,0
RGS22,0
GOLGA4,0
MYOZ3,0
KREMEN2,1
GADL1,0
NR5A1,1
GINS2,1
KIF19,0
KLHL31,0
USP13,0
VIP,0
TMPRSS11B,0
CAND2,0
HIST1H2AG,1
NXPE4,0
SMTNL1,0
GALNT16,0
CHTF18,1
COL1A1,1
MCM5,1
ADAMTS7,1
NLRP7,1
CLDN11,0
CFAP221,0
RCAN2,0
ASF1B,1
ONECUT3,1
MITF,0
CLCA4,0
FRMD3,0
CKAP2L,1
STMND1,0
NXPH4,1
CCNF,1
CENPN,1
DNAH7,0
FAXDC2,0
TACC3,1
KIFC1,1
CDX1,1
KCNRG,0
SERPINA5,0
PIH1D2,0
GBP6,0
ADSSL1,0
FAAP24,1
PDPN,1
NKAPL,0
CASQ1,0
HOPX,0
HIST1H3G,1
XRCC3,1
MORC2,2
SLC12A2,0
NELL2,1
RMI2,1
MCM10,1
FSD1,1
SLC19A1,1
CST2,0
CDT1,1
FAP,1
CCNG1,0
RTN2,0
KHDC1,1
CUTC,0
BCL2L12,1
CELSR3,1
PCCA,0
FXYD1,0
SPNS2,0
ANXA11,0
KLB,0
PDIA4,2
COL5A3,1
UBE2D4,0
UCN2,1
NT5C1A,0
LRRC10B,0
TMEM72,0
CLDN23,0
MARVELD1,1
BUB1B,1
CDK1,1
RANBP9,0
CRAT,0
PEBP1,2
DISP3,1
KRTAP4-1,1
EIF4E3,0
LRRC20,0
SPC24,1
CLCN1,0
ANXA1,0
PLPP7,0
CKMT2,0
VEGFD,0
PRR29,0
SMIM5,0
ITGA6,1
FIG4,2
CNGB3,1
SLC25A20,0
ADAM8,1
SYPL2,0
TCAIM,2
FAM72B,1
ALG3,1
MAML3,0
SLC5A12,1
GPRASP1,0
DNAH9,0
DPCR1,0
SLC15A3,1
BICD1,1
HIST1H3H,1
LIMK1,2
C2ORF54,0
FBXL17,0
DMGDH,0
SPX,0
HIST1H2BO,1
CD80,1
ACO2,2
TOGARAM2,0
PAFAH2,2
AZGP1,0
TTC21A,0
CAGE1,1
LRRC2,0
CMPK1,2
ARPC1B,1
ECT2L,0
OAT,2
GNB5,2
SIRT2,2
PPP1R18,1
FADS1,1
SIAE,0
CAPSL,0
CRACR2B,0
ELF4,1
SPINK9,0
ELANE,0
C16ORF74,1
GPC2,1
ZNF469,1
PAX9,0
THSD4,0
FOXS1,1
SOCS1,1
EPHB2,1
MAGEA6,1
ANXA9,0
ACSM3,0
MICB,1
CDH20,0
SLC38A7,2
ARHGEF39,1
SPINK5,0
AMPD1,0
INMT,0
RERE,2
COL22A1,1
IQGAP3,1
MLIP,0
LAMB4,0
PHKB,2
C1ORF112,1
TSPYL1,2
AMIGO2,1
TERT,1
MYO1B,1
ANKRD23,0
BLOC1S3,2
MATN3,1
COBL,0
COL4A6,1
SPDYC,1
KCNB1,0
TYRP1,0
TPT1,0
PCDHGC5,1
RGS4,1
CYP2F1,0
MYLK2,0
SLC11A2,0
TCF24,1
MYOZ1,0
MIEF2,2
KCNIP2,0
SUOX,0
CACNA1B,1
IFI44,1
FAM72D,1
MOGAT1,0
SOX11,1
NFIA,0
CXCL11,1
PNCK,1
C2ORF73,0
HIST1H2AI,1
CSAG2,1
C6ORF58,0
P4HA1,1
CPT2,2
CD200R1,0
CMYA5,0
MSANTD3,1
SKA1,1
SALL4,1
LRRC26,0
FAM174B,0
FMO2,0
LHX9,1
CENPF,1
PTPRN,1
AOX1,0
ITGB1BP2,0
PPARGC1A,0
SLC25A25,0
GPIHBP1,0
RNASEH2A,1
POLQ,1
CS,2
STK3,2
RAC2,1
CREG2,1
SPATA6,0
PHLDB2,1
OR2B6,1
MCM7,1
NR3C2,0
ENPP4,0
LCN1,0
ADAMTSL2,1
MICAL2,1
SPRY1,0
P3H2,1
SLC5A5,0
TRIM46,1
PLEKHG4B,1
CILP2,1
LAMB3,1
USP6NL,0
MED30,2
IBTK,2
SPATA4,0
RAB3B,1
FOXO4,0
SOX12,1
C1ORF127,0
PNPLA2,2
METTL7A,0
ZFP64,2
ACKR1,0
TGFBR3,0
ATP8B3,1
FAM149A,0
HSDL2,2
IKZF2,0
PLEKHA6,0
CDC25B,1
ADA,1
MGST2,0
GNMT,0
PRC1,1
LYVE1,0
KLF15,0
ABRA,0
TUBB,2
STRADB,0
PDLIM5,0
ISOC1,0
KLHDC7B,1
GDF10,0
CAPS,0
C6ORF141,1
TNS2,0
MB,0
CGB8,1
TMEM26,1
ABHD5,0
SPC25,1
VSIG2,0
PGM5,0
CSMD2,1
WDR53,2
RCN3,1
GTSF1,1
SORT1,0
SLC20A1,1
OIP5,1
PSMD2,2
FNDC4,0
ERICH3,0
AKTIP,2
NDUFA5,2
MIOX,1
MGME1,2
LAMB1,1
NNT,0
MC5R,0
PARP14,1
PTGES3L,0
BOC,0
ABCA8,0
MEIS2,0
NCBP2,2
ZNF844,0
PLEK2,1
HS3ST1,0
ADAMTS14,1
ACTL6A,1
TXLNB,0
USP19,2
HYDIN,0
KCNK5,0
SEMA6C,0
CCSAP,2
SLC44A3,0
SLC25A23,0
KAZN,0
CRBN,2
GPR12,0
FSTL3,1
N4BP3,0
IPO9,2
ETNPPL,0
PDK2,0
CCDC170,0
HOXD9,1
CENPE,1
GPR19,1
DNA2,1
SNTB1,0
ARHGAP11A,1
TMC7,1
SH2D4B,1
ZGRF1,1
MAD2L1,1
KIAA2012,0
PINK1,0
IFI27,1
BARX2,0
PADI2,0
MCM4,1
PSRC1,1
CRYAB,0
SLC26A4,0
LMO7,0
TMEM132C,0
BBOF1,0
C16ORF71,0
GNLY,1
RNF224,0
APOD,0
ATPAF1,2
STIL,1
PROC,1
HOXC13,1
MGP,0
RFX8,1
FAM214A,0
PTGFRN,1
SLC2A1,1
TCHH,0
LDLRAD1,0
ELOVL3,1
FOXD1,1
SLC52A2,1
SHMT1,0
TRPC4,1
MAGEA10,1
ATP7B,0
TMEM210,0
SPP1,1
BTBD1,2
MOGS,2
ACADVL,2
KRT222,0
EXPH5,0
DUSP3,2
CDK2,2
GDF5,0
AMOT,0
PCDH1,0
FAM129B,0
RSRC1,2
WFDC2,0
SCN2B,0
PDZD7,1
SCARA5,0
FHIT,0
C9ORF152,0
NBEA,0
CALCOCO1,2
TOP2A,1
CD70,1
TNNC2,0
KRTAP13-1,0
PDE6A,0
XIRP1,0
B3GNT4,1
NEIL3,1
SCEL,0
GMNN,1
TEC,0
EN1,1
HSD17B4,2
PCLAF,1
MIPEP,2
TMEM213,0
BCKDHB,0
MYOM2,0
UACA,2
CHN1,1
NAAA,0
TSPAN12,0
LIMCH1,0
DUSP13,0
TM4SF19-TCTEX1D2,1
GNE,0
EFNB1,1
PRG4,0
HIST1H4I,1
MYO10,1
DNAJB11,2
KALRN,0
COL6A3,1
EMCN,0
TRPA1,1
ATP1A2,0
TNNT1,0
TTK,1
PPP4R4,1
ENO4,0
CCDC14,1
STN1,2
FEZ1,1
HMGCS2,0
CHRM1,0
PLEKHA7,0
EHD3,0
NCOA1,0
CCNG2,0
LRFN4,1
STARD4,1
PLK4,1
RAF1,2
CTNNA3,0
NWD1,0
HERC5,1
CCDC160,0
FAM110D,0
CCNE1,1
USO1,2
MAGEA12,1
ZFP2,0
PLCL1,0
NKX6-1,1
ZNF281,1
TACC2,0
CISH,0
CEBPE,1
EN2,1
RACGAP1,2
NHLRC4,0
SH2D1B,0
PLA2G7,1
CXCR2,0
ALPK3,0
CHIT1,1
ERF,2
ID4,0
TBX15,0
RCC2,2
VWA5A,0
TRPV6,0
SMPD2,0
TMEM59,2
NBEAL2,0
RAB5B,2
SENP5,2
HPRT1,2
OASL,1
TPM3,2
ARL1,2
PPP1R36,0
RPN1,2
AC007906.2,0
TMEM206,2
ST3GAL4,0
HTR2C,1
SRL,0
OSCP1,0
IL17RC,2
SETMAR,0
ZWINT,1
MYL3,0
TSPAN10,1
DNASE1L3,0
SLC37A1,0
FOXL1,1
FBXO40,0
TAF1A,2
AIF1L,0
TAPT1,2
BRDT,1
BRCA1,1
PRSS27,0
ANO5,0
CSAG3,1
GMPR,0
RTKN,1
TOX2,1
KIAA0141,2
CA13,0
ASAP1,2
ULBP2,1
CDCA2,1
CADM2,0
TSGA10,0
USP18,1
PCED1B,1
MAGEB2,1
DLAT,2
POLD1,2
HMMR,1
GAMT,0
SPEG,0
MND1,1
CHAD,0
COL16A1,1
LNX1,0
IQCD,0
ZFP36,0
CCDC6,2
HMGB3,1
MTHFD1L,1
CXCL13,1
TXNDC12,2
KRT35,0
RSAD2,1
ABL2,1
CCL23,0
MUC21,0
SYNGR3,1
C10ORF55,1
LTF,0
FZD4,0
SLCO1B3,1
SLC17A9,1
NETO1,1
CKS2,1
PRRT3,0
SLC28A1,0
LRRFIP2,2
LHB,1
TMEM233,0
ANO10,2
ENDOU,0
NPY1R,0
RHOU,0
CCDC150,1
SLC16A7,0
C18ORF25,2
KIAA1143,2
RBP1,1
SUGCT,1
RBM20,0
KRT13,0
LAIR2,1
LRP10,2
RETSAT,2
DLL3,1
KLHL5,1
SPATS2,2
GPR39,1
SLC27A6,0
CHST7,1
FBXO43,1
PIGR,0
NPW,1
AK9,0
ERCC6L,1
TRIM13,2
ADPGK,2
B4GALNT1,1
GFI1,1
ASB12,0
AQP5,0
C17ORF53,1
KCTD6,2
FGF19,1
TPRG1,0
S100PBP,2
GRK7,1
COL3A1,1
DMD,0
NPY5R,0
SLC4A4,0
ARHGAP6,0
KCNMB1,0
CPEB4,0
HOXD12,1
DEPDC1,1
KIF20A,1
HSPB8,0
GALNS,1
CCDC178,0
CACNB4,0
KBTBD13,0
ANLN,1
FNDC3B,1
SEMA3G,0
SLAMF9,1
C1ORF158,0
MMS22L,1
RNF141,0
ASAP3,0
SCN1B,0
OCIAD2,1
PPP1R1A,0
SLC7A14,0
GALNT2,1
TTC9,0
TMEM217,0
ATP2A2,0
ACOT7,1
DUSP5,0
NPNT,1
COQ9,2
ITGA11,1
CERCAM,1
SMDT1,0
LRRTM1,0
ZNF200,2
HTR7,1
SLC26A2,0
DDX11,1
CFAP73,0
USP54,0
CRYM,0
PARN,2
ACPP,0
ASB2,0
PCM1,2
SOX17,0
IDH2,0
C1QL4,1
BCL2L15,0
CYP4B1,0
CRNN,0
BHMT2,0
TNFRSF9,1
AC024940.1,1
NFIC,0
AQP4,0
NCAPD2,1
USP4,2
MYBL1,1
MAGEA3,1
TREH,0
CCNB1,1
FOXC1,0
FKBP9,1
CATIP,0
FBXL6,1
TAC1,0
PHKA1,0
CLINT1,2
ARHGAP10,2
STEAP1B,1
FITM2,2
FXYD2,0
POLA2,2
TENM2,1
TCP11L1,2
NID1,1
RNASE4,0
ZFP42,1
PXDN,1
ASPN,1
GLIS1,1
TEX26,0
FAM49B,2
FADS3,1
ZNF835,0
DMBX1,1
CCNA2,1
JPH1,0
ADAR,2
F2RL2,1
NOX4,1
FADD,1
CDKN2A,1
SACM1L,2
CLCN4,0
TMEM100,0
CGB7,1
GNPDA1,2
KCNA7,0
SOD3,0
SP8,1
CYP2J2,0
CAMK2A,0
CT62,1
COL6A1,1
KCNK9,1
ACOX3,0
AC008687.4,1
NECAB2,1
GPR50,1
P4HA2,1
CAMK2B,0
TNFRSF4,1
ITGA3,1
ARSF,0
CLVS1,0
NKD2,1
MSN,1
SOCS6,2
SLC36A2,0
COL1A2,1
SPAG8,0
TMOD1,0
ACSS3,0
NUSAP1,1
BLM,1
PLOD2,1
SAMD5,0
ACAN,1
DDX60L,1
EPHX2,0
DSN1,1
SNX31,0
DGAT2,0
SLC16A1,1
OSR1,0
HSP90B1,2
FAM189A2,0
MPP7,0
ZNF677,0
KCNJ16,0
ITGB4,1
CT45A10,1
GMPPB,2
LRRC8C,1
GYS2,0
FAM124A,0
TP53INP2,0
GADD45G,0
EMX1,1
HIST1H2BK,1
OAS2,1
EPSTI1,1
STMN1,1
NUDCD1,2
TMEM138,2
RAB11A,2
SAA2,0
TMEM220,0
MYOT,0
EVPL,0
ASB11,0
AMZ1,1
MASTL,2
GMPS,2
VWA5B1,0
BSND,0
PEG3,0
EPS8L2,0
SLC24A2,1
TTYH1,0
TREM2,1
GALNT18,1
GAS7,0
KLHDC7A,0
MCM6,2
PROCR,1
TNNI2,0
SIAH1,2
XYLT2,2
ACSL1,0
EHF,0
SMARCD3,0
IFI35,1
PDLIM2,0
TGM7,0
GALNT12,0
FAM219B,2
CLU,0
MYH7,0
DCBLD2,1
ZDHHC13,0
MPZ,0
MKRN2OS,0
RAB5A,2
TMF1,2
MMRN1,0
SH2D5,1
ANK1,0
BTG2,0
TRIM59,1
RUVBL1,2
CRYL1,0
ADRA1A,0
DTNA,0
IL6ST,0
STAU2,2
MAGEA1,1
AL163636.2,0
RNF157,0
FAM69A,2
CKM,0
ARHGEF38,0
TYRO3,0
TNFSF13,0
RBKS,2
KIAA1644,1
LCTL,1
CCDC69,0
DNMT1,2
MAGEC2,1
C1ORF210,0
ATP8A1,0
TF,0
LMNB2,2
PDE8B,0
SLCO5A1,0
CGB5,1
PLCG1,2
GDPD3,0
MUC7,0
STAT2,1
KIF22,2
XPR1,1
LRRC14B,0
IL22,0
PPARG,0
FANCC,2
TJP3,0
TMC5,0
KIAA1211L,0
TSPAN3,2
SAMD13,0
BORCS7,2
SULF1,1
PDIA2,1
B3GALT1,0
TNC,1
FBXO41,1
PKNOX2,0
FOLR1,0
MLPH,0
NICN1,2
GAD1,1
MAPK3,2
RNF10,2
CFAP65,0
SMIM6,0
MMP10,1
EEF1A1,2
GALNTL6,0
MINPP1,2
GCNT3,0
MYLPF,0
TDO2,1
RPUSD4,2
C4ORF26,1
SPARC,1
LYPD8,1
RBPMS,0
DCLRE1B,2
CLDN14,1
SNX9,2
MTURN,0
TTN,0
DYRK1B,0
NID2,1
RPL15,2
EGLN1,2
IRF9,1
LGI1,0
SIGLEC12,1
AQP1,0
LTBP1,1
KNL1,1
YBX3,2
EMC1,2
FA2H,0
ALDH3B1,0
KCNT1,0
FOXF2,1
PRKAA2,0
CIDEA,0
CEP72,1
ZDHHC15,0
FAM111A,2
UAP1L1,2
RAB34,2
PRB1,0
DUSP28,2
EPB41L4A,0
TRIML1,1
LCN6,0
ULK3,2
TMEM56,0
LAPTM4B,1
MARCKSL1,1
NCAPG2,2
EEF1A2,0
SCRN1,1
AC083902.2,0
EIF4B,2
MPP3,1
INPP5A,2
ADGRD2,1
RCHY1,2
BRCA2,1
GRAMD2B,0
SATB1,0
TNS1,0
SOHLH1,1
C6ORF132,0
NGB,1
SLC22A1,1
ATP2A3,0
BCAS4,1
PPM1L,0
ALOX12,0
SLC30A9,2
PPP2R2A,2
UBE2Z,2
ASPM,1
MCM8,1
HSPBAP1,2
PSMB2,2
ROR2,1
CYP27C1,1
AP2M1,2
RDM1,1
TMEM200B,1
ALDH3A2,0
ANGPTL5,0
CCER2,0
MMD,2
ACSM1,0
ATP5B,2
SMARCD1,2
DCAF11,2
SAE1,2
STX12,2
ITPR1,0
TCEA3,0
SERPINA10,1
HOXB13,1
CCL2,0
ACD,2
TENM3,1
CTSV,1
MAGEA9B,1
RPL39L,1
AK1,0
DPT,0
MDH1,2
NEB,0
MYO7A,1
CBLB,2
KCNJ11,0
SMAD9,0
LPL,0
FUT6,0
BCAS1,0
SYNGR1,0
SH3GLB1,2
OSTN,0
ASB4,0
NOTUM,1
UFL1,2
SNTA1,0
RAB31,1
KIAA1324,0
ATAD5,1
TSPAN8,0
PLCXD3,0
SUPT7L,2
CTNNA1,2
PDZK1,1
ART3,0
CTLA4,1
C1ORF87,0
C2ORF40,0
YWHAH,2
WDR54,1
GBP5,1
RFWD3,2
SGIP1,1
STK10,2
NUP62,2
EPO,1
CSTB,0
MYO5B,0
SYCP2,1
MOV10L1,1
FAM92A,1
CCDC125,2
CHPT1,0
IFIT3,1
TM7SF2,0
ASCL3,0
CHST15,1
ZNF132,0
NUP85,2
DHRS7C,0
PI16,0
TMEM61,0
FBXO34,2
MCEE,2
RERGL,0
C3ORF18,0
ALG1L,1
JOSD1,2
PIK3R1,0
CACNB1,0
TMEM249,1
ECE2,1
DERL1,2
GLRB,0
GGT6,0
PROM1,0
NAGS,1
SLC19A3,0
NEU4,0
PITPNA,2
SCNN1B,0
HSF2BP,1
PPP1R9A,0
PIK3CD,1
RPE65,1
EIF4EBP3,0
LINC00675,0
SLC9A8,2
IFI44L,1
CSDE1,2
ANXA10,1
PDSS2,2
UBR3,2
C20ORF144,1
FAM13C,0
IFIT2,1
HSPB2,0
TOB1,2
MTERF4,2
CKAP2,2
COL8A1,1
IER5L,1
RHCG,0
FAM47E-STBD1,0
THSD1,1
ACAA1,2
TMEM9B,2
MKI67,1
GINS4,1
NPBWR1,1
TCTEX1D4,0
LEPR,0
ABHD14B,2
TEAD2,1
KIT,0
NRG1,1
GOLGA6L7P,1
FXYD5,1
TTC22,0
APLN,1
TMEFF1,1
MARK1,2
TCEAL2,0
ASB15,0
C2ORF50,0
UBXN7,2
SGK2,0
TTBK1,1
LMO2,0
MORN5,0
BTBD9,2
DSCAM,1
DYNAP,0
CSGALNACT2,2
LMCD1,0
PTPDC1,2
ABR,2
METTL21C,0
IL1RN,0
RAD21,2
EGF,0
IL17RD,0
NREP,1
MFHAS1,1
CLDN4,0
FUT2,0
HIST1H1D,1
OBP2A,1
DHRS2,1
C11ORF24,2
RANBP1,2
NDUFS2,2
BHLHA15,0
ABLIM1,0
NKX3-2,1
BTD,2
SDHD,2
BLNK,0
HOXD8,1
SMS,2
MGAM2,0
SERPINB1,0
GJB1,0
CDH11,1
CALU,1
ODF2,2
